BLEURT_DASH_extended 0.4187 3695
COMET 0.4571 3695
COMET_DASH_2R 0.4625 3695
COMET_DASH_HTER 0.4111 3695
COMET_DASH_MQM 0.4127 3695
COMET_DASH_QE 0.3196 3695
COMET_DASH_Rank 0.3418 3695
CharacTER 0.2704 3695
EED 0.3424 3695
MEE 0.1681 3695
OpenKiwi_DASH_Bert 0.02192 3695
OpenKiwi_DASH_XLMR 0.3543 3695
TER 0.01867 3695
YiSi_DASH_0 0.3364 3695
YiSi_DASH_1 0.4403 3695
YiSi_DASH_2 0.3315 3695
chrF 0.3586 3695
chrF_PLUS__PLUS_ 0.3494 3695
esim 0.3635 3695
mBERT_DASH_L2 0.3337 3695
parbleu 0.1778 3695
paresim_DASH_1 0.3635 3695
prism 0.2108 3695
sentBLEU 0.206 3695
