BLEURT_DASH_extended 0.5167 10283
COMET 0.4867 10283
COMET_DASH_2R 0.512 10283
COMET_DASH_HTER 0.5003 10283
COMET_DASH_MQM 0.4902 10283
COMET_DASH_QE 0.47 10283
COMET_DASH_Rank 0.4078 10283
CharacTER 0.1952 10283
EED 0.21 10283
MEE 0.1572 10283
OpenKiwi_DASH_Bert 0.1423 10283
OpenKiwi_DASH_XLMR 0.4167 10283
TER 0.06681 10283
YiSi_DASH_0 0.1909 10283
YiSi_DASH_1 0.3204 10283
YiSi_DASH_2 0.104 10283
chrF 0.2288 10283
chrF_PLUS__PLUS_ 0.2277 10283
esim 0.2531 10283
mBERT_DASH_L2 0.3595 10283
parbleu 0.2257 10283
parchrf_PLUS__PLUS_ 0.2527 10283
paresim_DASH_1 0.2566 10283
prism 0.4138 10283
sentBLEU 0.194 10283
