BERT_DASH_base_DASH_L2 0.08742 14024
BERT_DASH_large_DASH_L2 0.09441 14024
BLEURT 0.09256 14024
BLEURT_DASH_extended 0.1007 14024
COMET 0.1564 14024
COMET_DASH_2R 0.1476 14024
COMET_DASH_HTER 0.1305 14024
COMET_DASH_MQM 0.1365 14024
COMET_DASH_QE 0.08428 14024
COMET_DASH_Rank 0.1181 14024
CharacTER 0.05747 14024
EED 0.05262 14024
MEE -0.04107 14024
OpenKiwi_DASH_Bert -0.03294 14024
OpenKiwi_DASH_XLMR 0.09156 14024
SWSS_PLUS_METEOR 0.0482 14024
TER -0.1171 14024
YiSi_DASH_0 0.06517 14024
YiSi_DASH_1 0.09127 14024
YiSi_DASH_2 0.06959 14024
chrF 0.04949 14024
chrF_PLUS__PLUS_ 0.05405 14024
esim 0.08414 14024
mBERT_DASH_L2 0.08257 14024
parbleu -0.01127 14024
parchrf_PLUS__PLUS_ 0.04435 14024
paresim_DASH_1 0.08856 14024
prism 0.1455 14024
sentBLEU -0.004564 14024
