BERT_DASH_base_DASH_L2 0.2952 3706
BERT_DASH_large_DASH_L2 0.3141 3706
BLEURT 0.327 3706
BLEURT_DASH_extended 0.3297 3706
COMET 0.2979 3706
COMET_DASH_2R 0.3081 3706
COMET_DASH_HTER 0.2688 3706
COMET_DASH_MQM 0.2822 3706
COMET_DASH_QE 0.1484 3706
COMET_DASH_Rank 0.2277 3706
CharacTER 0.2477 3706
EED 0.2709 3706
MEE 0.2056 3706
OpenKiwi_DASH_Bert 0.1678 3706
OpenKiwi_DASH_XLMR 0.2445 3706
SWSS_PLUS_METEOR 0.2639 3706
TER 0.1252 3706
YiSi_DASH_0 0.2682 3706
YiSi_DASH_1 0.3157 3706
YiSi_DASH_2 0.2142 3706
chrF 0.2671 3706
chrF_PLUS__PLUS_ 0.2752 3706
esim 0.3001 3706
mBERT_DASH_L2 0.3119 3706
parbleu 0.2035 3706
parchrf_PLUS__PLUS_ 0.2671 3706
paresim_DASH_1 0.2925 3706
prism 0.3044 3706
sentBLEU 0.2256 3706
