RAW.SCR Z.SCR N SYS N.ALL 
53.9440088459992 -0.131884366910172 829 SJTU-NICT.370 1880 
63.9355330955212 0.159080948450013 841 zlabs-nlp.95 2045 
77.7388827636898 0.50242737405666 907 NiuTrans.1347 2037 
59.7931339352897 0.0321725503453673 886 Online-Z.1632 2037 
75.7632411858974 0.496028322002652 832 OPPO.1201 1938 
76.0535493827161 0.496300516707461 972 Tohoku-AIP-NTT.1453 2309 
70.2347173489279 0.334995889186363 855 Online-B.1591 2203 
71.7707883153261 0.374515251641474 833 NICT_Kyoto.1223 2128 
79.6739888423989 0.576237766793268 717 HUMAN 1419 
71.2838218714769 0.348788073447847 887 Online-A.1575 2338 
75.9143549589858 0.491575688388224 894 ENMT.1477 2149 
52.758135391924 -0.164305345633348 842 Online-G.1557 1858 
