SYS SID RAW.SCR Z.SCR N 
zlabs-nlp.1181 cnbc.com.33934_7 75.5 0.880858441567359 2 
zlabs-nlp.1181 cnbc.com.33934_11 61.5 0.448070278795972 2 
zlabs-nlp.1181 cnbc.com.33934_0 82 1.0949979115664 2 
zlabs-nlp.1181 cnbc.com.33934_6 61.25 0.39149411651089 4 
zlabs-nlp.1181 cnbc.com.33934_12 83.5 1.21265945890987 2 
zlabs-nlp.1181 cnbc.com.33934_14 76 0.870791084822514 2 
zlabs-nlp.1181 cnbc.com.33934_1 58 0.0133410826183446 4 
zlabs-nlp.1181 cnbc.com.33934_3 54 0.056914032182607 2 
zlabs-nlp.1181 cnbc.com.33934_4 55 0.110711127481923 2 
zlabs-nlp.1181 cnbc.com.33934_5 63.5 0.395478883685088 4 
zlabs-nlp.1181 cnbc.com.33934_8 81 1.01655688000408 2 
zlabs-nlp.1181 cnbc.com.33934_15 68.5 0.775362073365174 2 
zlabs-nlp.1181 cnbc.com.33934_2 49.5 -0.0496312472178 2 
zlabs-nlp.1181 cnbc.com.33934_9 58 0.00101911448684351 2 
zlabs-nlp.1181 cnbc.com.33934_10 58 0.17352666832786 2 
zlabs-nlp.1181 cnbc.com.33934_13 59 0.325899508679184 2 
zlabs-nlp.1181 kcal.268_2 52 -0.966581323906384 2 
zlabs-nlp.1181 kcal.268_3 65 0.0537643692144439 1 
zlabs-nlp.1181 kcal.268_7 77 0.995621932095209 1 
zlabs-nlp.1181 kcal.268_10 76 0.917133801855146 1 
zlabs-nlp.1181 kcal.268_12 76 0.917133801855146 1 
zlabs-nlp.1181 kcal.268_15 64.5 0.014520304094412 2 
zlabs-nlp.1181 kcal.268_16 53.5 -0.848849128546288 2 
zlabs-nlp.1181 kcal.268_19 75 0.838645671615082 1 
zlabs-nlp.1181 kcal.268_0 51 -1.04506945414645 2 
zlabs-nlp.1181 kcal.268_4 62 -0.181700021505747 2 
zlabs-nlp.1181 kcal.268_14 52.5 -0.927337258786352 2 
zlabs-nlp.1181 rte.en.ie.5307_4 78 0.354209646943317 1 
zlabs-nlp.1181 rte.en.ie.5307_11 38 -1.23062098814983 1 
zlabs-nlp.1181 rte.en.ie.5307_13 73 0.156105817556674 1 
zlabs-nlp.1181 rte.en.ie.5307_16 47 -0.874034095253868 1 
zlabs-nlp.1181 rte.en.ie.5307_19 99 1.18624573036722 1 
zlabs-nlp.1181 seattle_times.7019_3 59.5 -0.842269125436138 2 
zlabs-nlp.1181 reuters.276539_0 99 1.37659307451006 1 
zlabs-nlp.1181 reuters.276539_1 89 0.844370737564359 1 
zlabs-nlp.1181 reuters.276539_2 93 1.05725967234264 1 
zlabs-nlp.1181 reuters.276539_3 92 1.00403743864807 1 
zlabs-nlp.1181 reuters.276539_4 79 0.312148400618655 1 
zlabs-nlp.1181 reuters.276539_5 87 0.737926270175218 1 
zlabs-nlp.1181 reuters.276539_6 90 0.897592971258929 1 
zlabs-nlp.1181 reuters.276539_9 91 0.950815204953499 1 
zlabs-nlp.1181 reuters.276539_10 70 -0.166851702632478 1 
zlabs-nlp.1181 en.ndtv.com.13155_0 77 -0.025575492324862 2 
zlabs-nlp.1181 en.ndtv.com.13155_1 77 -0.0255754923248618 1 
zlabs-nlp.1181 en.ndtv.com.13155_2 86 1.18589519674755 1 
zlabs-nlp.1181 en.ndtv.com.13155_4 79 0.243640216357897 1 
zlabs-nlp.1181 en.ndtv.com.13155_6 69 -1.1024383270559 1 
zlabs-nlp.1181 en.ndtv.com.13155_9 79 0.243640216357897 1 
