RAW.SCR Z.SCR N SYS N.ALL
70.4602681291895 0.0481696761254184 1094 Online-B.1589 2681
62.671977124182995 -0.215818292606702 1224 Online-G.1555 2796
69.09273202614379 0.0173790995547409 1275 Online-Z.1630 3155
80.77738379814079 0.505330797551817 1255 SRPOL.522 3221
68.719823032224 0.00791905888263051 1262 Online-A.1573 2972
77.091747311828 0.321920766459055 1240 UEDIN-CUNI.1482 2893
80.4522231204527 0.45834794990524796 1237 CUNI-T2T-2018.1071 3036
79.3144207066557 0.43383782864456 1217 CUNI-Transformer.1080 2911
85.64696188019491 0.6535777545527629 1163 Human-A.0 2622
82.1899705014749 0.5464632296396571 1130 CUNI-DocTransformer.1450 2621
48.1294633642931 -0.759610124929068 1292 zlabs-nlp.1151 3190
80.3545060658579 0.44099527009560496 1154 eTranslation.1048 2753
81.8421052631579 0.538236217505205 1197 OPPO.1121 2684
