RAW.SCR Z.SCR N SYS N.ALL 
72.7393911439114 0.307370235362686 542 zlabs-nlp.1181 753 
79.0125868055556 0.662631787845883 384 Facebook_AI.1393 506 
75.499162479062 0.513686725533013 398 GTCOM.1389 538 
72.7736418511066 0.325949847939218 497 Online-Z.1637 620 
49.6263706140351 -0.819143799711236 608 SJTU-NICT.386 770 
71.8845541401274 0.153016030277978 628 Groningen.1261 687 
77.3713494461229 0.479587373823801 662 OPPO.1510 813 
58.2242063492063 -0.407054599779413 504 TALP_UPC.1049 579 
74.0596421471173 0.2311146151186 503 UEDIN.488 595 
83.436170212766 0.762143401718595 517 HUMAN 575 
76.7048192771084 0.423976977937546 498 Huoshan_Translate.839 552 
72.1752688172043 0.296468963614353 465 Microsoft_STC_India.282 508 
77.9586111111111 0.457113619463646 600 Online-A.1578 728 
68.11 -0.00571297544892382 550 DCU.1020 620 
77.3086484593837 0.491168241599485 476 Online-B.1596 583 
53.7962962962963 -0.716236708654481 576 Online-G.1561 696 
