RAW.SCR Z.SCR N SYS N.ALL 
79.7313109425785 0.112572397943507 923 OPPO.1094 1035 
71.7286348501665 -0.153299688107111 901 zlabs-nlp.1164 1092 
79.8684895833333 0.0619114478687957 960 HUMAN.0 1130 
75.9738805970149 -0.0162113390750598 938 DiDi_NLP.1191 1097 
80.9449339207048 0.114367707834503 908 Online-A.1583 1113 
80.1517857142857 0.0721864798087545 896 Online-B.1603 1066 
79.4908759124088 0.0959464364574067 822 PROMT_NMT.78 985 
79.260353227771 0.12383429767425 821 Online-G.1567 961 
79.1653726708075 0.0261181010365988 966 AFRL.1083 1118 
80.6146706586826 0.103922134720395 835 eTranslation.686 958 
77.6732749742533 0.0423466880217548 971 ariel197197.512 1141 
75.1822562358277 -0.0216195521549111 882 Online-Z.1644 1087 
