SYS SEGID RAW.SCR Z.SCR N SID
Huoshan_Translate.919 chinanews.com.102580::1 80.0 0.41525186073781295 1 902
Huoshan_Translate.919 chinanews.com.102580::2 92.0 0.95541161298454 1 903
Huoshan_Translate.919 chinanews.com.102580::3 77.0 0.28021192267613104 1 904
Huoshan_Translate.919 chinanews.com.102580::4 72.0 0.05514535923999501 1 905
Huoshan_Translate.919 chinanews.com.102580::5 20.0 -2.2855469004958198 1 906
Huoshan_Translate.919 chinanews.com.102580::6 55.0 -0.710080956442868 1 907
Huoshan_Translate.919 chinanews.com.102580::7 33.0 -1.70037383556187 1 908
Huoshan_Translate.919 chinanews.com.102580::8 69.0 -0.0798945788216868 1 909
Huoshan_Translate.919 chinanews.com.102580::9 92.0 0.95541161298454 1 910
Huoshan_Translate.919 chinanews.com.102580::10 47.0 -1.0701874579406898 1 911
Huoshan_Translate.919 chinanews.com.102580::11 89.0 0.8203716749228579 1 912
Huoshan_Translate.919 chinanews.com.102580::12 98.0 1.2254914891079 1 913
Huoshan_Translate.919 chinanews.com.102580::13 98.0 1.2254914891079 1 914
Huoshan_Translate.919 chinanews.com.102580::14 94.0 1.04543823835899 1 915
Huoshan_Translate.919 chinanews.com.102580::15 95.0 1.0904515510462198 1 916
Huoshan_Translate.919 chinanews.com.102580::16 61.0 -0.440001080319505 1 917
Huoshan_Translate.919 chinanews.com.102580::17 96.0 1.1354648637334501 1 918
Huoshan_Translate.919 chinanews.com.102580::18 77.0 0.28021192267613104 1 919
Huoshan_Translate.919 chinanews.com.102580::19 95.0 1.0904515510462198 1 920
Huoshan_Translate.919 chinanews.com.102580::20 45.0 -1.1602140833151398 1 921
Huoshan_Translate.919 chinanews.com.102580::21 90.0 0.865384987610085 1 922
Huoshan_Translate.919 chinanews.com.102580::22 84.0 0.595305111486722 1 923
Huoshan_Translate.919 chinanews.com.102580::23 94.0 1.04543823835899 1 924
Huoshan_Translate.919 chinanews.com.102580::24 71.0 0.0101320465527677 1 925
Huoshan_Translate.919 chinanews.com.102580::25 73.0 0.10015867192722197 1 926
Huoshan_Translate.919 xinhua-zh-01.6575::1 72.5 0.281091169657884 2 696
Huoshan_Translate.919 xinhua-zh-01.6575::2 74.0 0.42812793767209395 1 697
Huoshan_Translate.919 xinhua-zh-01.6575::3 62.0 -0.748166206441583 1 698
Huoshan_Translate.919 xinhua-zh-01.6575::4 72.0 0.232078913653148 2 699
Huoshan_Translate.919 xinhua-zh-01.6575::5 79.0 0.9182504977194591 1 700
Huoshan_Translate.919 xinhua-zh-01.6575::6 62.0 -0.7481662064415849 2 701
Huoshan_Translate.919 xinhua-zh-01.6575::7 64.0 -0.5521171824226371 1 702
Huoshan_Translate.919 xinhua-zh-01.6575::8 77.5 0.771213729705249 2 703
Huoshan_Translate.919 xinhua-zh-01.6575::9 81.0 1.1142995217384 2 704
Huoshan_Translate.919 xinhua-zh-01.6575::10 80.0 1.01627500972893 1 705
Huoshan_Translate.919 xinhua-zh-01.6529::1 73.0 -2.3547578675503997 1 1723
Huoshan_Translate.919 xinhua-zh-01.6529::2 77.0 -1.71101115870545 1 1724
Huoshan_Translate.919 xinhua-zh-01.6529::3 89.0 0.220228967829402 1 1725
Huoshan_Translate.919 xinhua-zh-01.6529::4 93.0 0.863975676674353 1 1726
Huoshan_Translate.919 xinhua-zh-01.6529::5 83.0 -0.745391095438025 1 1727
Huoshan_Translate.919 xinhua-zh-01.6529::6 94.0 1.02491235388559 1 1728
Huoshan_Translate.919 chinanews.com.102760::1 83.0 1.31034854575735 1 714
Huoshan_Translate.919 chinanews.com.102760::2 77.5 0.771213729705249 2 715
Huoshan_Translate.919 chinanews.com.102760::3 68.0 -0.16001913438474402 2 716
Huoshan_Translate.919 chinanews.com.102760::4 66.0 -0.35606815840369105 2 717
Huoshan_Translate.919 chinanews.com.102760::5 75.5 0.575164705686303 2 718
Huoshan_Translate.919 chinanews.com.102760::6 77.0 0.7222014737005129 2 719
Huoshan_Translate.919 chinanews.com.102760::7 72.0 0.232078913653148 1 720
Huoshan_Translate.919 chinanews.com.102760::8 71.0 0.13405440164367502 1 721
Huoshan_Translate.919 chinanews.com.102760::9 65.5 -0.405080414408427 2 722
Huoshan_Translate.919 chinanews.com.102760::10 79.0 0.9182504977194591 1 723
Huoshan_Translate.919 chinanews.com.102760::11 78.0 0.820225985709986 1 724
Huoshan_Translate.919 chinanews.com.102760::12 72.0 0.232078913653148 1 725
Huoshan_Translate.919 chinanews.com.102760::13 67.0 -0.258043646394218 1 726
Huoshan_Translate.919 chinanews.com.102760::14 82.0 1.2123240337478798 1 727
Huoshan_Translate.919 chinanews.com.102760::15 72.0 0.232078913653148 2 728
Huoshan_Translate.919 chinanews.com.102760::16 66.0 -0.35606815840369105 1 729
Huoshan_Translate.919 chinanews.com.102760::17 85.0 1.5063975697763001 1 730
Huoshan_Translate.919 chinanews.com.102760::18 70.0 0.0360298896342017 1 731
Huoshan_Translate.919 international_times-zh.148::1 65.0 -0.454092670413164 1 761
Huoshan_Translate.919 international_times-zh.148::2 59.0 -1.04223974247 1 762
Huoshan_Translate.919 international_times-zh.148::3 64.0 -0.5521171824226371 1 763
Huoshan_Translate.919 international_times-zh.148::4 83.0 1.31034854575735 1 764
Huoshan_Translate.919 international_times-zh.148::5 71.0 0.13405440164367502 1 765
Huoshan_Translate.919 international_times-zh.148::6 79.0 0.9182504977194591 1 766
Huoshan_Translate.919 international_times-zh.148::7 70.0 0.0360298896342017 1 767
Huoshan_Translate.919 international_times-zh.148::8 84.0 1.40837305776682 1 768
Huoshan_Translate.919 international_times-zh.148::9 72.0 0.232078913653148 1 769
Huoshan_Translate.919 reuters-zh.15791::1 95.5 0.513731971201382 2 1886
