RAW.SCR Z.SCR N SYS N.ALL 
69.713372600349 0.272129910163013 764 Tilde.1430 1328 
71.756972361809 0.254796149514193 796 CUNI-Transformer.978 1274 
72.4107112794613 0.299230991343066 792 NICT_Kyoto.1233 1607 
74.0329072681704 0.348355569391354 665 Tilde.1425 1191 
76.305796178344 0.382801635042983 785 Huoshan_Translate.1137 1493 
64.4909111411818 0.0967131240008721 739 Online-A.1576 1348 
68.9672972972973 0.219021043567251 740 SJTU-NICT.899 1319 
72.0303250849102 0.310252997992296 687 OPPO.1076 1424 
76.3535864978903 0.492951679895346 790 SRPOL.1325 1333 
70.5919418758256 0.316126363236242 757 Online-G.1559 1395 
75.639329004329 0.434658268767938 770 eTranslation.926 1306 
70.0554120541205 0.236071904125633 813 Online-B.1593 1480 
88.6419491525424 0.671845420836656 590 HUMAN 953 
47.6727311827957 -0.537631770203072 775 zlabs-nlp.180 1268 
63.8893247741322 -0.0595687666207042 701 Online-Z.1634 1443 
