RAW.SCR Z.SCR N SYS N.ALL 
73.7943912812334 0.0181781259060487 627 Online-A.1570 877 
77.504674796748 0.071083778060103 615 OPPO.1481 845 
71.8412572636027 -0.0804246536392026 631 Online-Z.1628 842 
74.1323577235772 -0.0653420144402421 615 CUNI-T2T-2018.1072 837 
71.9637299196787 -0.141199041660665 664 zlabs-nlp.1149 912 
74.785353130016 0.0414329096603885 623 Online-B.1586 937 
78.3060390295359 0.117873378925305 632 CUNI-DocTransformer.1457 949 
71.9327229299363 -0.094493057942707 628 PROMT_NMT.76 840 
75.2549916805324 0.0343854882879749 601 CUNI-Transformer.1081 846 
73.74625 -0.0367162383383919 640 SRPOL.1365 1016 
72.548157051282 -0.0691237512737649 624 Online-G.1552 940 
74.1065664556962 -0.0491061326068965 632 UEDIN-CUNI.1359 862 
