BAQ_dyn 0.5668 651
BAQ_static 0.619 651
BLEURT_DASH_extended 0.7081 651
COMET 0.5607 651
COMET_DASH_2R 0.5576 651
COMET_DASH_HTER 0.5023 651
COMET_DASH_MQM 0.4716 651
COMET_DASH_QE 0.4685 651
COMET_DASH_Rank 0.4716 651
CharacTER 0.6129 651
EED 0.5883 651
EQ_dyn 0.6129 651
EQ_static 0.6436 651
OpenKiwi_DASH_Bert 0.4593 651
OpenKiwi_DASH_XLMR 0.5238 651
TER 0.1183 651
YiSi_DASH_0 0.4409 651
YiSi_DASH_1 0.6897 651
YiSi_DASH_2 0.2227 651
chrF 0.5914 651
chrF_PLUS__PLUS_ 0.5791 651
esim 0.6743 651
mBERT_DASH_L2 0.6928 651
parbleu 0.6252 651
parchrf_PLUS__PLUS_ 0.6498 651
paresim_DASH_1 0.6621 651
prism 0.5115 651
sentBLEU 0.5975 651
