LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 Yisi-combi bleurt-Yisi-combi esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-de_P PROMT_NMT.73 0.247014407933923 79.32598039215691 10.305 -0.8237 38.5009 0.42152 9.832239069111411 -0.09858568069986128 0.3818645921663206 0.8916549451520459 0.6042596146895199 0.2973328836687177 0.16948312719160638 0.19169492597267432 -0.761990047915328 -0.5256453433267152 0.312712430100181 0.14960556722946244 0.28423781363800565 0.511884238364 0.913283706629 0.9346379083220001 0.7206848405185976 0.7206848405185976 0.18139611237665326 -0.15146399115978074 17.6 46.7805 0.1937301532090845 -1.81243
en-de_P eTranslation.737 0.31177655258431103 82.4510563380282 11.9658 -0.8111 39.8319 0.43409 11.40419929478137 0.07583478089994705 0.48626604114694605 0.9237326028558448 0.6856759291073922 0.36432259278888535 0.1814898093905636 0.35093251347268584 -0.7401482758416925 -0.5134078032102 0.33469887550952593 0.207798220628376 0.4009718140574075 0.5216824795489999 0.917607182652 0.935037141749 0.7352479943435518 0.7352479943435518 0.2520317092921443 0.008896527635866227 21.1 48.8514 0.26600674473075 -1.69623
en-de_P Online-A.1574 0.322221407355888 85.279324009324 11.5807 -0.8152 39.6789 0.4332 10.942185825105783 -0.0049036467876101405 0.4543316491337018 0.9142404959362384 0.6558038124339116 0.3382036935528217 0.1791051778040914 0.2876585987810313 -0.7414004043134684 -0.5176031709410912 0.3286652988909349 0.17964535833918324 0.3338309645479379 0.520421602962 0.916506347673 0.9349002348379999 0.7302498175790179 0.7302498175790179 0.2261315834523298 -0.06119096207685967 19.7 48.4103 0.2423290079932434 -1.74205
en-de_P Tencent_Translation.1520 0.3845242998439679 84.31345238095241 11.966 -0.8088 40.202 0.43798 11.404160578279278 0.08484619168094419 0.4999093313560898 0.9255216275052824 0.6920503287961015 0.3654061948571412 0.18181982735899027 0.3598341803343596 -0.739577234461894 -0.5132546673288466 0.33602610723410675 0.2122324494453218 0.4045991260671334 0.523290787729 0.9179222700990001 0.935823552891 0.7365217290408856 0.7365217290408856 0.26133067163997376 0.02583226269933333 21.0 49.0831 0.2769577901334895 -1.69248
en-de_P Tohoku-AIP-NTT.890 0.4682086565759671 88.6200726612171 12.0747 -0.8109999999999999 40.2967 0.43932 11.449799717912564 0.09873274365920777 0.5093655761414075 0.92803993090601 0.6959209878770017 0.36765787427210944 0.18312570946987367 0.3709110688623067 -0.7349144094553933 -0.5120013428192549 0.3369869431302939 0.2137715538165024 0.4025753379637856 0.526539787024 0.918787261636 0.936441379408 0.7367063941084616 0.7367063941084616 0.2730799009800167 0.02129249292069833 20.4 49.1588 0.2875866868936461 -1.67685
en-de_P Human-P.0 0.298640272530644 84.15003198976329          0.33552570987463104      0.1149171498710518 0.2227149523416342   0.907072019746        
en-de_P OPPO.1535 0.495151735582397 87.398679154659 11.9333 -0.8091 40.1533 0.43784 11.40187193229902 0.07120447001079748 0.4934314971517808 0.92343466736019 0.6881408339263858 0.3665894706091332 0.18231186426106266 0.3565996191891275 -0.7389044536498236 -0.5127768588419189 0.3338033287912437 0.21425157262219907 0.3931529924236711 0.52252122708 0.91782954866 0.935021339915 0.7357634616167152 0.7357634616167152 0.2587400222793537 0.015201532475030304 20.9 49.1286 0.2723091211319705 -1.6972900000000002
en-de_P AFRL.1069 0.26013891998072 82.2212494595763 11.2327 -0.8171 38.8831 0.42438 10.830209308885753 0.010325530756722049 0.4538876197362589 0.9157332101953708 0.6716464502981251 0.35023526295987323 0.17975962999915274 0.3052704879943129 -0.7560083353190574 -0.5190964174707786 0.32466366921496315 0.20136966159743253 0.3721712796038545 0.5156826480960001 0.915434201693 0.933285956982 0.7286496410837294 0.7286496410837294 0.229026435599866 -0.022498379872615312 20.0 47.7272 0.2478383031801146 -1.74232
en-de_P Online-G.1556 -0.119678490034494 73.91613247863249 9.032 -0.8272 36.8048 0.40531 8.868344922425955 -0.26936108902180816 0.27535264529957737 0.857674031907217 0.4484848685494305 0.2321240770613498 0.14615253833509104 0.05210548642055986 -0.7843630699383702 -0.5335347086443383 0.2916134416148146 0.02012066203412536 0.15627508924167988 0.500732039492 0.9083714146690001 0.930470728491 0.7043858454240899 0.7043858454240899 0.045844368980764 -0.3413421837573579 15.6 44.7692 0.0623907441042143 -1.9902400000000002
en-de_P Online-B.1590 0.416468423465359 84.50615006150059 11.7687 -0.812 40.0728 0.43727 11.080278772919593 0.07162372120071532 0.48939967582236105 0.9259790402307728 0.6884674513962104 0.36297215956835016 0.1818718766286669 0.3510009570149718 -0.7367874762685499 -0.5155730403339746 0.33360922458377923 0.2157631145727168 0.3891274750624141 0.524622009168 0.917977739069 0.933911594499 0.7357361196462795 0.7357361196462795 0.27441122350565383 0.04243729893533232 19.8 48.9194 0.2899417111765704 -1.68865
en-de_P zlabs-nlp.179 -0.278390194312612 68.12583979328171 9.5534 -0.8463 36.8874 0.40382 9.157336953455571 -0.3282383465811043 0.22940570256201226 0.8630911520621851 0.550709516561376 0.26437767009041035 0.16478517108167692 0.0002528796949764065 -0.7717457345988648 -0.5400148544812572 0.2994558408179198 0.0761144693050276 0.12371061466061554 0.49697002961900005 0.907770812412 0.929397718618 0.7031291268019817 0.7031291268019817 0.10357638934498443 -0.3534080314072971 16.3 44.9754 0.1213922214829619 -1.9554
en-de_P Human-B.0 0.569198370284334 90.50607805502241 12.7122 -0.826 41.6898 0.45498 11.949779830747538 0.18523488050308315 0.5233352583371975 0.937132649438926 0.7360764261445475 0.4220186292430437 0.18817664282201907 0.44561431533689855 -0.7150531775532222 -0.5072635478525302 0.3522521746596561 0.2014012207698776 0.3790828157321397 0.531235988717 0.9196104393510001 0.9242908279269999 0.7409321994892465 0.7409321994892465 0.3149778455238374 0.10164917954499866 20.5 50.0286 0.3181340350810181 -1.7244700000000002
en-de_P UEDIN.1136 0.251231842420799 81.00267077555209 11.4024 -0.8193 39.5537 0.43166 10.823420592383657 -0.027892994364705173 0.4341033408332916 0.9073674297301764 0.6457116055986692 0.33052953495494203 0.17648024691432784 0.26409735718455657 -0.7460755379392707 -0.5195349696156673 0.327385306761046 0.18601260421999924 0.33433077522200155 0.515784462623 0.915318286319 0.936260029619 0.7272123780380015 0.7272123780380015 0.2103134762595588 -0.08254797752468475 19.9 48.1421 0.2238066138670752 -1.7461
en-de_P Human-A.0 0.4457850041508921 85.65816326530609 15.738 -0.77 44.9063 0.48562 14.426418053596635 0.2474920333156885 0.5700504140447621 0.9454386984122908 0.7621218685076503 0.4010306700194315 0.19550455135857076 0.5259374479877491 -0.6759598659908308 -0.4788951918545832 0.39157571002575575 0.21256572813352595 0.37129816617054817 0.559012984485 0.929764267278 0.926000046544 0.7689447759825353 0.7689447759825353 0.4151836869231989 0.1975444331344832 25.7 53.9751 0.4157718400587821 -1.4327299999999998
en-de_P Online-Z.1631 0.125798127745 77.65545839957599 9.7253 -0.8385 37.8289 0.41559 9.428269816643162 -0.20319015365645648 0.3256796751839959 0.8793613475836729 0.5654080115332254 0.2625472509470044 0.16559502897356507 0.12157113125813107 -0.7651365812351915 -0.5305429615700362 0.3061464859960894 0.11505160804533192 0.23733474841217897 0.496639454161 0.910808894922 0.9319381276450001 0.7150401153794801 0.7150401153794801 0.1508898775478134 -0.2196199404882275 16.3 45.9497 0.16292038155858876 -1.92923
en-de_P Huoshan_Translate.832 0.3264426021119069 84.6034986225895 11.7217 -0.8137 40.0207 0.43626 11.19656431593796 0.04902866913586308 0.4820878232424693 0.9191221692270964 0.6786353792128257 0.3586822958386876 0.18059894718330066 0.3335804556731571 -0.7378735643660288 -0.5150423232986157 0.3330404915233718 0.199239670788956 0.3784953299056008 0.521673147391 0.917398076164 0.9361112722139999 0.733467569051912 0.733467569051912 0.2508896699619226 -0.0028038360966613834 20.7 48.9716 0.2640899135225435 -1.7045099999999997
en-de_P WMTBiomedBaseline.388 -0.338168585367229 65.4550834597876 8.2125 -0.8477 35.0904 0.38527 8.204824894217216 -0.3669074822968589 0.13068203114522214 0.8601564632890265 0.5375493048928016 0.2376056469793351 0.15962474753096886 -0.07340208607842708 -0.7997627091623707 -0.5455043543923557 0.2840705464111736 0.1150033395232998 0.07382594037548823 0.488359375882 0.9038187891399999 0.923520504231 0.6960752370579455 0.6960752370579455 0.0629134962153956 -0.3428771991928979 14.8 42.7382 0.0843929869381577 -2.0165900000000003
