LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism MEE
ru-en_M OPPO.1094 0.112572397943507 79.7313109425785 55.2153 -0.3888 69.9724 52.723979919273475 0.5347441648077652 0.5304834461957968 0.366643156811189 0.4699852754682393 0.5903751895007396 0.9384302856864859 0.8367000502486281 0.3333980892258359 0.20973429573157876 0.6101881637379873 -0.2827111452192294 -0.24122526392850024 0.2675961927462869 0.3439016710350329 0.5557443939538567 0.776984994955 0.9645634258319999 0.929350701312 0.6269096041908327 0.5651904152467562 62.0 66.325 0.630464463516333 -1.18164 0.6405488291509835
ru-en_M zlabs-nlp.1164 -0.15329968810711098 71.7286348501665 42.1262 -0.4895 62.9204 39.8528635721494 0.2719258316891225 0.2774712789040641 0.10726982217533916 0.21395259170852204 0.4316351514853073 0.8865553001909846 0.7242062328351374 0.22789797089633398 0.16182532544053502 0.3717003595751196 -0.3600573647530192 -0.3007667069191792 0.1428252007552882 0.19684372538198855 0.4889104723773876 0.713053818365 0.945086315843 0.9268845711399999 0.4434961180919715 0.330600981620318 47.3 60.5015 0.4434392258898928 -1.55566 0.5746076536768859
ru-en_M Human-B.0 0.0619114478687957 79.8684895833333            0.33203585857982393     0.2632520467937594 0.3225418118145373    0.924366039354       
ru-en_M DiDi_NLP.1191 -0.0162113390750598 75.9738805970149 47.8966 -0.4445 65.6648 45.51418637739655 0.404991821146276 0.40381411487080615 0.2471592295031495 0.34087005129796344 0.5086223017162381 0.9197916714408774 0.7890504845366348 0.2861458228560623 0.18657915895241856 0.4876208119958971 -0.3213479664609041 -0.274772827393224 0.2371740814309669 0.2953816842697523 0.5155933832418517 0.742377382442 0.9535895085770001 0.927839031282 0.5408082154441313 0.45405675126493394 54.4 62.6464 0.5440092526515335 -1.39641 0.600916385825589
ru-en_M Online-A.1583 0.114367707834503 80.9449339207048 51.1609 -0.41200000000000003 67.722 49.016283047426796 0.4913289285933093 0.4871414143189893 0.3171541336153217 0.4255874747434851 0.5602889552165796 0.929826500706232 0.8161801346977111 0.3172876168153822 0.1961064161509681 0.5630244810705559 -0.3018220340953181 -0.2583779166175351 0.25265053454805336 0.3175987728376141 0.5379916451476299 0.7614507850660001 0.960340035318 0.9285440070640001 0.6020419110781791 0.5138961228379448 57.9 64.3271 0.605734183831755 -1.26221 0.6229568354510024
ru-en_M Online-B.1603 0.0721864798087545 80.15178571428571 53.081 -0.4032 69.1977 50.45173763874877 0.5097726857295309 0.5073646180083605 0.33612760069557324 0.4476243169408754 0.5784077636923878 0.9342302197673172 0.826066877328303 0.32175421538082305 0.20322590265893795 0.5921032250718816 -0.29000375148767826 -0.2492314441247977 0.2568716916709567 0.329599734611892 0.548568476726705 0.768876367306 0.9623949152369999 0.9297931220990001 0.6169067340142702 0.5430382459408459 59.2 65.8085 0.6192970214229299 -1.23201 0.637452015369935
ru-en_M PROMT_NMT.78 0.0959464364574067 79.4908759124088 53.5015 -0.4009 69.4944 51.08199717457114 0.5071902677762641 0.4985114852066117 0.3338984631107205 0.44545724538392667 0.5762609520537767 0.9343107054094614 0.829043962550091 0.31772082368512866 0.200592552090542 0.5889357683886929 -0.28619438418564025 -0.24795581952421564 0.2529493843973074 0.3263840410467444 0.5508093256167615 0.769476089808 0.9626884066600001 0.93025315439 0.6116165409501788 0.5466484742541727 59.9 66.1186 0.6139520491190503 -1.22075 0.6408675764239647
ru-en_M Online-G.1567 0.12383429767425 79.26035322777099 53.0905 -0.3812 69.7883 51.45150474268414 0.5406649936550681 0.5361885459854914 0.3589443861611195 0.4805293419707555 0.5858824117400276 0.9363247417082671 0.8181468132135244 0.3252000232454397 0.20324300076949825 0.6042377660361116 -0.276162995177798 -0.2385639653665199 0.2545637340537685 0.32064836436185296 0.5612175732746209 0.778134625631 0.962491629667 0.929778756811 0.6312534902959039 0.5551016557619622 59.5 66.123 0.6328396093115346 -1.2175200000000002 0.6436655830139177
ru-en_M AFRL.1083 0.0261181010365988 79.1653726708075 49.2613 -0.4371 67.0724 47.34527800201821 0.40378499467125095 0.4067152955246982 0.22952099972217524 0.3427877436071544 0.5048607702906912 0.9063387661505072 0.7661205921416085 0.2732505023554652 0.1828810018256611 0.4824539619619186 -0.3153595585475907 -0.2676299443631973 0.20909065090864146 0.2541103631231697 0.5274102503486761 0.7522521705349999 0.955319051463 0.927748696266 0.5369527191280807 0.43738873709673604 55.4 64.071 0.53898538341492 -1.37548 0.6190518421501466
ru-en_M eTranslation.686 0.103922134720395 80.6146706586826 53.4859 -0.40299999999999997 69.7268 51.52876811301718 0.5391427675482002 0.5287991024170345 0.37159102983344217 0.4708747131642853 0.5956920367683445 0.9430249678393908 0.8436578999073305 0.33853839138339353 0.20685375704137576 0.6144595002082641 -0.28330862756434955 -0.2457448691477403 0.2809869884658985 0.35532995017563057 0.5511399223947024 0.7722919929359999 0.965032031282 0.9297886478299999 0.6367153773135031 0.5669774545204387 60.1 66.2252 0.6398437628917223 -1.1771200000000002 0.6432101474100984
ru-en_M ariel197197.512 0.0423466880217548 77.6732749742533 55.0557 -0.3916 69.3465 51.6879035317861 0.5459047154900284 0.5327008739038626 0.3825368528619905 0.4746789426273101 0.5880418485761212 0.9431282218891516 0.8423497398674308 0.34210028323879915 0.21003801270245215 0.6090812858806851 -0.2903031787050769 -0.24930583090050565 0.2781942915096202 0.35034282607196504 0.5472680531883201 0.770433512614 0.9641562916249999 0.9278744510600001 0.6330988369036304 0.5642574986162869 62.3 65.7569 0.6375528115104399 -1.18777 0.6284147883751501
ru-en_M Online-Z.1644 -0.0216195521549111 75.18225623582771 44.6786 -0.46799999999999997 63.7429 42.327546922300684 0.3622270072129011 0.3634118479493288 0.18423074722951646 0.3024713090883134 0.486125261192203 0.901070818281521 0.7452375553059649 0.2575537365257156 0.1733293754766691 0.4564678747043405 -0.34370426991764746 -0.2884654203546351 0.1756517647396243 0.2470831489669747 0.5035484032877868 0.729192894046 0.950013597376 0.9272447406659999 0.5220905440689396 0.4102467013265483 50.5 60.9748 0.5235077097709361 -1.47319 0.5809565045708746
