LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED EQ_dyn EQ_static MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
zh-en_B Huoshan_Translate.919 0.101990711185132 77.46785085143858 29.4041 -0.61 57.27 0.60091 27.510702649999967 0.2769232750311494 0.29436564915254715 0.18446519482135773 0.2115867853164673 0.49951993790129207 0.9062463670992292 0.7545046236291528 0.3579365594523388 0.17572571462416375 0.4809526894250885 -0.492352929876632 -0.37088173965364696 0.6512564116205014 0.6714963896405005 0.5537687130222853 0.2546789291612804 0.3216596837313846 0.4215966742855289 0.6733880955 0.9348038175 0.9090863015 0.4444155375342816 0.2752459301352501 34.3 62.0895 0.4410177516322583 -1.76931
zh-en_B THUNLP.1498 0.0277692790367291 76.4810240963855 29.403 -0.6085 56.7161 0.5946199999999999 27.373468449999976 0.2684764382466674 0.2889846862144768 0.18463756655529145 0.2050250639617443 0.4956845592753962 0.9088100917474368 0.7581185214966536 0.3614525437846333 0.17375621092582194 0.4732208523051814 -0.4995857757269249 -0.3742650205283426 0.6483281659145006 0.6679331050540005 0.5527966662021304 0.2748155891764909 0.3271719030765817 0.4182373928745541 0.66986537 0.9343220335 0.909264448 0.4358905184026808 0.2709422537498176 34.3 61.4383 0.4338154653348029 -1.7802099999999998
zh-en_B SJTU-NICT.320 0.0163558107761155 75.9865790976585 30.9033 -0.5951 57.4172 0.60238 28.65234310000001 0.23804136014729735 0.2658889237083495 0.16123382392525673 0.1857066516801715 0.4538845109683461 0.8957551104035228 0.7297836166992784 0.3262614244572142 0.17281434304075874 0.4264812849191949 -0.4904740745663576 -0.367479427650338 0.6491727265089994 0.6664519424059997 0.5536585934031142 0.2516814072988927 0.2878394112316892 0.42333477196137 0.675959953 0.9340475215 0.908144563 0.4253779034279287 0.25070718524605035 35.5 61.8839 0.4227238130746409 -1.80095
zh-en_B dong-nmt.1207 -0.0781832335644553 74.71362586605079 22.0196 -0.6596 49.7567 0.5259199999999999 21.29363494999997 0.06304968686401842 0.11370991374924777 0.0004904951900243759 0.024053976289927958 0.34664822160452596 0.8615103414538317 0.6674741155579687 0.2901580018913956 0.15233300833772884 0.2765753498058766 -0.5898757766032143 -0.4166766614019871 0.5730023741954995 0.5858557077874993 0.4822230589864984 0.18693552643526345 0.22033714500442148 0.3745959063394869 0.627670294 0.92094462 0.904933755 0.32955813268385825 0.07892538637295365 27.4 54.1483 0.32739597248658536 -2.10459
zh-en_B zlabs-nlp.1176 -0.10562523274938 72.2275362318841 18.2294 -0.7111 46.5824 0.49658 17.268438349999997 -0.0278235168159008 0.03094318684190512 -0.07445869551599026 -0.0438178321570158 0.25159977564914154 0.8573122105821968 0.6556655667237937 0.27040509645039856 0.14911952007768375 0.1759841530751437 -0.6229053719283192 -0.4498712618942373 0.5447202165729992 0.5598287298825002 0.4423961005849191 0.20370039223693312 0.1753400242039934 0.34178292822918066 0.5872099465 0.911409877 0.9015354729999999 0.2580199370235205 0.010597850449383259 22.7 51.3133 0.2560579347359017 -2.23044
zh-en_B DeepMind.381 0.0508906217127797 77.96422313084109 28.3447 -0.6216 56.4573 0.59292 26.520941899999965 0.2710772304534912 0.28481961017847063 0.18122175657376646 0.20624799206107852 0.4953603344275616 0.9046066806567832 0.750805341526866 0.3567976875295681 0.17336171641819167 0.4696716727456078 -0.5024784175573095 -0.37727586380252615 0.6416940115750003 0.6619156652445011 0.5484954447322249 0.263112156781368 0.3253857404915616 0.4154211784099925 0.6663001000000001 0.9338028435 0.908943078 0.4394647775422782 0.2698727434501052 33.3 61.4085 0.4371247909627855 -1.7846
zh-en_B Online-G.1569 -0.071139302557744 71.7175438596491 22.0971 -0.6624 50.4849 0.53725 21.408299550000017 0.059255356729030616 0.11512091879919173 -0.010853641089051964 0.024324631817638876 0.3010190502600744 0.8267266877377406 0.5882449868693947 0.2651080650548884 0.14007094428385328 0.23090686514321715 -0.5827706228908419 -0.408551507032942 0.5693739521720003 0.5846651157445001 0.4811441162494443 0.06768316313810646 0.17250243718456476 0.37975340291933984 0.6376411175 0.920689216 0.9042423690000001 0.3235677413754165 0.05955686986446381 27.6 55.0692 0.3206323198424652 -2.10036
zh-en_B WMTBiomedBaseline.183 -0.332754233570021 67.2691394658754 13.6593 -0.7553 39.4394 0.42125 14.3219604 -0.2883302232734859 -0.1455536362491548 -0.2336860981360078 -0.24987564067542556 0.09271064144838602 0.8338887424636632 0.60304327766411 0.23398440332833706 0.13205077583684616 -0.034289333892054866 -0.6880553335534406 -0.4789603228745982 0.4845855463615 0.4982721402089996 0.3988666824738015 0.1577090487778187 0.07235728040710092 0.3057792616262013 0.5530155395 0.8991440734999999 0.89668877 0.10730290489271282 -0.1973328418172896 17.9 43.3989 0.10835592148080468 -2.5096
zh-en_B Huawei_TSC.889 -0.000323371131514792 72.3770278099652 28.0519 -0.6305 55.4651 0.5819300000000001 26.130950599999963 0.26855868349969386 0.28439236860349776 0.1858614815995097 0.20623800225555894 0.4938075855122879 0.9074335496937856 0.7575482666641474 0.3612967426265241 0.17330336944712188 0.4688486412996426 -0.5060588588115443 -0.38091072346735744 0.6425633527310011 0.6632285375375001 0.5445770143411249 0.27819336095359176 0.3300277988621965 0.4136337480316516 0.663010215 0.933046707 0.9088064935 0.4368255260810256 0.2719194421321154 33.0 60.3694 0.4346618905067444 -1.8042900000000002
zh-en_B OPPO.1422 0.0505498443868076 77.5104395604396 27.8532 -0.6262 55.7433 0.58622 25.810685200000048 0.25534707317501304 0.2759241170324385 0.17340816901251674 0.19613393315672875 0.4785809138426557 0.9001818738030269 0.7429299117326736 0.3503521768071096 0.1721242194879192 0.4527418126454577 -0.5143512595886821 -0.3835520125939511 0.6355355669604994 0.6542653181639999 0.5359061765405648 0.2545970910750329 0.3053476205402985 0.4094404516468844 0.660555466 0.932995833 0.9076286109999999 0.4257874841690064 0.2544054097980261 32.9 60.5961 0.4233277146881446 -1.80539
zh-en_B Tencent_Translation.1249 0.0630899720754086 76.6650485436893 29.427 -0.6068 56.6569 0.59437 27.206165000000002 0.2650479105040431 0.2858902565911412 0.1755673358924687 0.204527208596468 0.4904924542857334 0.9040825127409772 0.7491011179983615 0.35166926635796153 0.17282594780769855 0.4716842997726053 -0.5005840036338884 -0.3741984828130808 0.6506847190530006 0.6693342188960018 0.5508928857120501 0.2559162629432976 0.3132723290529102 0.4179747797017975 0.6700026145 0.934356255 0.9090743090000001 0.4410197849925607 0.26872408180311325 34.4 61.3969 0.437917952477932 -1.78066
zh-en_B Online-B.1605 0.0603791140407922 77.77333722287051 30.8896 -0.5936 57.3077 0.60115 28.78522515000005 0.2463769188821316 0.27271504678949715 0.1664468787536025 0.1921566212028265 0.4619366082428023 0.8981774448510259 0.7338354401737451 0.3295377772747524 0.17328911165554875 0.434846075986512 -0.4927357232292109 -0.3655074529962149 0.6515266519409998 0.6698883421075008 0.554600034793715 0.2523958751577884 0.29052976264432073 0.4240558501985934 0.677579818 0.9347250445 0.9084806025 0.4337941040638834 0.2603343549631536 35.8 61.7042 0.4317957434104756 -1.78267
zh-en_B DiDi_NLP.401 0.0886791722178333 77.62848484848479 30.9203 -0.5912 57.6004 0.6041 28.845021449999948 0.2723491951748729 0.2884737950824201 0.18358914206177 0.20859436668455605 0.4900779218282551 0.9017012200085446 0.7469301533475519 0.3428310519709994 0.17715392940762675 0.4708898244937882 -0.4854171286960271 -0.3641458171282429 0.6592203805900007 0.6796910735705011 0.5582245759191474 0.2608609286230057 0.3148401923263445 0.4257393309191256 0.6789482655 0.9354451054999999 0.909197343 0.443674544647336 0.2796486336328089 35.9 62.1878 0.4409555934583768 -1.7620799999999999
zh-en_B WeChat_AI.1525 0.0772065883080364 77.35321489001691 29.6626 -0.6077 56.4854 0.59214 27.380644299999986 0.2643235475793481 0.2885503184683621 0.17949325530603527 0.2003413714915514 0.4958426643991843 0.9063452211269176 0.7519536929875612 0.3565916992906805 0.17336652136141306 0.4713377756085247 -0.4986870399365796 -0.3734417803934775 0.6508711602175007 0.6710968090659997 0.5504387008899434 0.2606998344734311 0.3195459107318893 0.4188865554889049 0.6709328605 0.9347636365 0.9093090825 0.4374426126331091 0.2678412736281753 34.6 61.0532 0.4344864309374243 -1.7806
zh-en_B Online-A.1585 -0.0168940059283705 76.09393404004709 24.119 -0.6587 52.341 0.55342 22.83060750000002 0.09798671479150653 0.13779583934321998 0.022832784119993448 0.05977381254732609 0.33995686011062937 0.8471112588262185 0.634745111502707 0.28533668058132755 0.1484758244443695 0.2888373590530828 -0.5635442375005201 -0.40306237565213815 0.5790264955640004 0.5973933508475007 0.4997143024826001 0.12220440401602535 0.2100683436561376 0.3879622335794917 0.64189089535 0.9235813415 0.905726058 0.34006742232106624 0.10153480054065583 29.4 56.9759 0.337036442023702 -2.01704
zh-en_B Online-Z.1646 -0.13497527799592698 72.6213114754098 17.5887 -0.6706 46.4838 0.49759 17.472733450000018 -0.016435012262314558 0.04659843699634075 -0.13761117199063302 -0.040660586394369605 0.2013895646049641 0.8134483384890482 0.5174535331763327 0.20719780803730103 0.1288559540308066 0.08825088776089253 -0.6220508465290382 -0.4347084867968224 0.5613795858049998 0.5735670281624999 0.43369633896440507 0.015173984294757246 0.08067922791931778 0.3593775847185597 0.607499711 0.911178507 0.9014688485 0.3044468010552228 -0.05349856677651405 22.1 50.6204 0.30334572529606524 -2.3382099999999997
zh-en_B Human-B.0 -0.0290093549325213 74.79997077732321             0.3360660033994245     0.9918615491454988 1.0120972354769973  0.25838228716608136 0.2618093625092879    0.901522355      
