LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
cs-en Online-A.1570 0.0181781259060487 73.7943912812334 26.8394 -0.5824 53.7025 0.55953 25.555637500000017 0.15571971699954515 0.17477273161197646 0.06023984981409039 0.08220234798289926 0.4115204368760047 0.8975513763585499 0.6987752364387354 0.18565917507009866 0.1870192404565006 0.3653821122961635 -0.5245716792180206 -0.3938873893110059 0.5262889516506237 0.10758956329874604 0.2217506991042924 0.661861024096 0.932446786145 0.9176501536139999 0.429328767863293 0.12193161104413043 33.2 57.8508 0.41469725316771905 -1.68877
cs-en OPPO.1481 0.07108377806010299 77.504674796748 29.9091 -0.5489999999999999 56.0694 0.58136 28.982986144578373 0.2625618955591716 0.2791969344378954 0.1872953024906028 0.19196267971342587 0.5136598567239917 0.9215519388531704 0.7697614023394613 0.2511009734255449 0.20725594052271626 0.4946413480856242 -0.4871375447997885 -0.3757878772084074 0.5579637768270078 0.16962599755175053 0.3099226565969861 0.6814921746989999 0.940328996988 0.919412146084 0.4990794868376779 0.22250407129660787 36.6 60.1707 0.4850316172078566 -1.52508
cs-en Online-Z.1628 -0.0804246536392026 71.8412572636027 23.2458 -0.5995 51.6985 0.5422399999999999 22.52754141566266 0.04412222081368946 0.0631986660546208 -0.03188609732427152 -0.01827311435018677 0.34781279358928685 0.8724565341962075 0.6206905449101006 0.1386646768630096 0.1762881138068484 0.2900716847970139 -0.5414741947830398 -0.40426565965368266 0.5089760772103928 0.042260779752339946 0.18056436474378929 0.6460889924700001 0.9246462921690001 0.9168584999999999 0.3400119341550821 0.03707558201648385 29.3 55.6727 0.32614640486482754 -1.83371
cs-en CUNI-T2T-2018.1072 -0.0653420144402421 74.1323577235772 26.0802 -0.5857 53.0291 0.55242 24.873142771084343 0.17410704890737333 0.19720879215073872 0.1051167268754847 0.09942078511847788 0.431624246339022 0.9072788810169504 0.7348701693566448 0.21910423552585107 0.20044523337523293 0.3954179296494428 -0.5317564345396084 -0.4013714305271047 0.5146604199379298 0.13197385502350795 0.2444712587980082 0.655821131024 0.931218115964 0.916580715361 0.4344960839588599 0.13718457721981658 32.5 57.1125 0.4201097086027085 -1.68861
cs-en zlabs-nlp.1149 -0.14119904166066502 71.96372991967871 21.7568 -0.6322 50.4391 0.5291899999999999 20.534027259036144 -0.14555951551231275 -0.09198377914277904 -0.22095097529600904 -0.19916831307023405 0.14949747405845268 0.8211635670607842 0.5005048050444171 0.08696661342559946 0.14348640803849555 0.07333312895294862 -0.5693605165349886 -0.4214703205535301 0.4906216283455607 -0.10121333931224892 0.029198747094585958 0.633060951807 0.9158098072290001 0.915360498494 0.22397487729518528 -0.12535813247717648 26.6 54.348 0.2095198073530996 -2.0082400000000002
cs-en Online-B.1586 0.0414329096603885 74.785353130016 28.6621 -0.5625 55.4138 0.5754 27.468845933734933 0.21059195172176304 0.22892195423952785 0.1336504666314247 0.1423976064985057 0.4757948003594304 0.9125579154702376 0.7435985938028757 0.223430190149714 0.19594503860067936 0.4459681230406445 -0.499560912762889 -0.3793338173916227 0.5504580632393068 0.1666837007547897 0.28843539488692604 0.6743523810240001 0.937832959337 0.920056036145 0.4656834919903293 0.1956282779125564 35.3 59.5729 0.449911125130525 -1.57807
cs-en CUNI-DocTransformer.1457 0.117873378925305 78.30603902953591 29.2218 -0.5532 55.9412 0.58124 27.934903162650595 0.2636003071240273 0.2783032149211111 0.1860146934548056 0.1878327337284404 0.5170929298402338 0.9191825401742034 0.7631688748587326 0.2455321517317349 0.2053878290590124 0.4961242544245962 -0.4998126746193278 -0.3766716117465712 0.5493215971531414 0.1537131234520979 0.2971118627851044 0.679605789157 0.940794399096 0.9199023825299999 0.4972890028000686 0.2278767245630902 36.0 59.9242 0.4832591913999563 -1.5145
cs-en PROMT_NMT.76 -0.09449305794270696 71.93272292993629 25.5725 -0.5875 52.7577 0.55024 24.53617484939759 0.15123566733785426 0.16953131246818118 0.06286340654569578 0.06927680154611547 0.4157065834908982 0.8992245968161936 0.7071275726544208 0.2012011377500492 0.1894903195220983 0.3667630307202463 -0.5380192705703727 -0.40211268987910576 0.5125448470714432 0.11273085851087628 0.23929072713131555 0.653981370482 0.9300914367470001 0.9174338855419999 0.4157941439637847 0.12128297760184988 32.3 56.7147 0.4015948074022645 -1.7156
cs-en CUNI-Transformer.1081 0.0343854882879749 75.25499168053241 28.5505 -0.5596 55.111 0.57262 27.42829337349397 0.2404057355934238 0.2553909840735506 0.171686403273818 0.16641594384269542 0.4952874027994876 0.9199762407911896 0.7639613215733005 0.24439966055342666 0.20202635051456935 0.4712008265497904 -0.5047439470336791 -0.3829012467043407 0.5385340284845586 0.16561618186421245 0.2885501637735056 0.674494093373 0.9382289593369999 0.918678605422 0.4684818496770529 0.20512107236826996 35.4 59.1114 0.4561988009835582 -1.5604799999999999
cs-en SRPOL.1365 -0.0367162383383919 73.74625 28.5059 -0.5601 55.2821 0.5746100000000001 27.484338704819287 0.24239859846701106 0.2551113853836993 0.16923805335199976 0.16048997137919965 0.4883773016171104 0.9161608494924808 0.7595573544603245 0.23829164881568346 0.20439341927585614 0.4655905999215208 -0.5006806352690992 -0.3814959305125367 0.5437414264498779 0.1530866467741778 0.2795664492169821 0.674574266566 0.938637266566 0.918865551205 0.4775957986824663 0.19691553495330624 35.3 59.3206 0.46459923630737393 -1.5487
cs-en Online-G.1552 -0.0691237512737649 72.54815705128199 23.9138 -0.6018 51.856 0.54286 23.100819578313256 0.07993807908461754 0.10458337641265017 -0.02468118206205138 0.0006029293928519789 0.3318504639270053 0.8767697047596483 0.6275069514760769 0.1625381834016195 0.16891720874249427 0.27087945191761903 -0.5458405554790672 -0.40548963759498413 0.5036656956242637 0.061267719839710785 0.14910151085434814 0.650680978916 0.923587572289 0.9152245000000001 0.3723992795840534 0.030439936926206914 29.7 55.9114 0.3592487120810133 -1.83135
cs-en UEDIN-CUNI.1359 -0.0491061326068965 74.1065664556962 27.6601 -0.5708 54.5913 0.56796 26.615022740963827 0.18526930772665756 0.2026034322488739 0.10676323508013444 0.11776844277439348 0.4518754448775337 0.9050300133650202 0.7294898146471704 0.2052268289886474 0.1973783807972249 0.4210124727203903 -0.5109889993902046 -0.3892404831811247 0.537623846613219 0.12641493733747894 0.2543277194055852 0.667739853916 0.935608153614 0.919701980422 0.4470838102545724 0.15674670913582106 34.1 58.7333 0.4343839217319591 -1.61467
