	HUMAN_RAW	paresim-1	esim	parchrf++	YiSi-1	parbleu	mBERT-L2	EED	BLEURT-extended	chrF++	chrF	sentBLEU	CharacTER	BLEU	OpenKiwi-Bert	COMET-Rank	COMET-QE	YiSi-0	prism	COMET-MQM	OpenKiwi-XLMR	COMET	COMET-HTER	COMET-2R	TER	YiSi-2
HUMAN_RAW	0.12	0.12	0.12	0.12	0.04859110100427608	0.03447077268639195	0.006735975568944266	0.00639992464822555	0.005522441645792716	0.004717829397621875	0.004231258543726377	0.0043809737033409886	0.00376600875526986	0.0029992014650244776	0.00017657103687459606	4.0119690147188774e-05	5.703682431366384e-05	8.068944441012089e-05	6.162757324379831e-05	6.482776998900152e-05	6.628447786993812e-05	6.606452598166257e-05	6.13783670331158e-05	6.336924304615178e-05	4.865032593875732e-05	5.375382010753464e-05
paresim-1	0.12	0.12	0.12	0.12	0.019025757090605316	0.04278425916242874	0.0007155195741912416	0.001608525167906155	0.000938190484893779	0.0014027980500525877	0.0009984645308957975	0.0009199451799129368	0.000996313405429808	0.00040613413327682626	8.21485102203407e-05	0.00022257121646895782	0.00027623897230943706	0.00019962937675217204	0.00021587437380729568	0.00020254033330565943	0.0001884215426457603	0.00017950318722431558	0.000172292026840284	0.0001680643772590325	0.00013550059984286392	0.00013395567996185955
esim	0.12	0.12	0.12	0.12	0.12	0.12	0.012532535946881486	0.00838785946370469	0.017113283072417416	0.00808376201286644	0.005517880100037661	0.0038896624048850165	0.002067705988037436	0.002008990193051434	0.00022662311840020432	0.0006519084231936751	0.0006021450176281669	0.00034909901531167517	0.0003966181565044605	0.00034535149088517873	0.00031539117275167694	0.0002931904587101388	0.0002742710037762979	0.00026637209639162446	0.0002066313303750254	0.0001996659141420806
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.001799271649592654	0.00030337311127421663	0.00023475187125110683	0.00019835757630765118	0.00014103379246172413	0.00013449617044519348	0.00012350681291997738	0.00012326590891872574	0.00010635427960247573	0.00010878166906351278	7.823543450730778e-05	7.744812919079646e-05
YiSi-1	0.12	0.12	0.12	0.12	0.12	0.12	0.04093729671976241	0.0012813466265505663	0.12	0.028331013073219363	0.008423958216741972	4.412427185459599e-05	0.000288959490345313	4.333018671757616e-05	0.0008685456122933274	0.0021144801424432666	0.0015861058231483663	0.0007571606269301116	0.0008873636790743293	0.0007269732055059211	0.0006287780666483371	0.0005656071296526468	0.000528409515772656	0.000499612880281886	0.0003809822975476864	0.0003507638089362263
parbleu	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029043539986043816	0.032573567274753884	0.009923919117461134	0.0008422027478287885	0.0029266594953990866	0.0021422552260131683	0.0011976823352817482	0.001209849427052269	0.0010144056183927059	0.0008629717883299011	0.0007913409948254699	0.000731899992902702	0.0006952644246808039	0.0005243934004674153	0.000470286040681326
mBERT-L2	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007015957297780329	0.007251686378461318	0.004955656160032885	0.0023581479788974073	0.0023458734556827186	0.0018034332893766113	0.0013461728091456449	0.0012260716422787129	0.0011480364706655795	0.0010483871106340302	0.0007982924707891144	0.0007108547308279897
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.007704151102945539	0.006454728314191882	0.01024420878136518	0.00652223123680756	0.0029645515215164977	0.003068713760512266	0.0023500982245785334	0.0018703917825418591	0.0016793746898924307	0.001528596132606463	0.0014260165346809716	0.001044019834795839	0.000930991123175061
BLEURT-extended	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.00662460258460802	0.007728142612975243	0.005497000250403768	0.0029406909496279996	0.0026692578144914426	0.002074973114288441	0.0015550157366290274	0.001441137019659937	0.0013364031651620309	0.0012350389158083943	0.0009311766857279306	0.0008460806957474624
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.013971778514390345	0.008333405077095296	0.005229638368818083	0.0020421850142786136	0.0021334836801702958	0.0016040349132630883	0.0012382543330209158	0.0010971761334617083	0.0009981051790819136	0.0009194843982445524	0.0006631877341799053	0.0005908169349139338
