LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-zh_B Online-B.1597 0.282441373737473 73.69656647528991 37.6775 -1.2856 26.0362 0.34016 35.066277644569745 0.2631009853955973 0.5003251423310536 0.8736354048437425 0.7519114068978596 0.21027595158671916 0.15165130327889664 0.488763055186167 -0.3748896452887143 -0.3824123591788859 0.06823107128114307 0.2915045999303166 0.604789839915 0.840133760226 0.9060046276450001 0.45033158246842864 0.2318586056319043 44.6 31.106 0.3808473518225976 -1.82171
en-zh_B dong-nmt.768 0.135784852042513 69.5062078797304 32.9813 -8.2334 22.3014 0.29599000000000003 30.66741791255288 0.16024551301017634 0.33698965635936184 0.7681996881402241 0.5699464421908467 0.14271741561396314 0.11458402265447305 0.2956900106025768 -0.40974203092111455 -0.4112812689504204 0.06279369821963761 0.14129002211413152 0.568193036178 0.818414522567 0.903671361072 0.3580461795085828 0.1026729484245034 41.7 27.7075 0.30304949840449313 -2.16095
en-zh_B Tencent_Translation.1332 0.420323451616117 79.0076804007655 40.8838 -1.0053 26.5651 0.35235 38.267444569816654 0.325507396057101 0.570721849026119 0.8971212002191278 0.7951758844917179 0.25396114088937644 0.16100296661134944 0.5797113604260391 -0.34742641334455604 -0.3636532048596272 0.0923258574464068 0.3487532979392345 0.622268770804 0.853158411848 0.907924279972 0.483199127241759 0.2988963085522268 49.4 32.2258 0.41700200978614005 -1.7102099999999998
en-zh_B NiuTrans.1511 0.4037257002715229 77.4278934221482 40.9834 -47.0914 26.5249 0.35342 38.38454139633292 0.32916330602361554 -1.0729108091472677 0.224853693776894 0.10780016556697436 0.004839129468280856 0.08602536946105975 -1.0080773063471649 -0.35023478013165804 -0.3624611118905593 0.3592675965350274 -0.8048757889895202 0.46274559520499997 0.853351143865 0.8522595966150001 0.4829275760883715 0.2916176396570522 49.2 32.2588 0.4142862420242768 -2.85487
en-zh_B Online-G.1562 0.121661158818172 70.0949634451482 34.6188 -1.4673 23.4695 0.31014 32.04579739069109 0.13994936658692125 0.41717614324590013 0.8337619072075917 0.6826694807450173 0.16094426052238492 0.12405020802321308 0.3734893455250223 -0.39306100527779975 -0.4016411738635707 0.033994857795872795 0.17041706343605714 0.5895324873059999 0.82266500141 0.907773438646 0.3637086636267277 0.08217774200737897 42.8 28.7738 0.2989723952592197 -1.94723
en-zh_B Online-Z.1638 0.13465548018428095 68.4694774867513 28.1215 -3.2969 19.3624 0.25595 26.38411276445698 -0.01820498927692096 0.3591403191500673 0.8128465102645286 0.6295864505559332 0.13656214076357587 0.09910107058892044 0.2891677599951982 -0.4288348070910883 -0.4376471880875917 -0.03702940020515821 0.14178796816349282 0.5669675648800001 0.809377477433 0.907070633992 0.34138526072875397 -0.08551843384509362 39.2 27.2092 0.2793477632956545 -2.10374
en-zh_B Huawei_TSC.618 0.414966546727361 77.3328515185602 40.4163 -1.2185 27.4312 0.35869 37.57326346967558 0.3210508585795865 0.5676426096984851 0.8935292429541604 0.7896264217930553 0.25232356290252833 0.16264029589146933 0.5699730805359119 -0.35616091258221505 -0.3670079267343404 0.07823897076426507 0.3530059115375341 0.6228821889989999 0.8504436897040001 0.9085529696760001 0.4758670830912625 0.2940494042830423 49.0 33.6422 0.4109126332929233 -1.7276799999999999
en-zh_B Online-A.1579 0.241172872970745 72.967922752168 36.9185 -1.307 24.3532 0.32387 34.54605401974609 0.2194405977623419 0.4790942527745208 0.8603686440876608 0.7289059299802242 0.2034501362829292 0.14497589356488536 0.46184824080152603 -0.3780391184434631 -0.3877394792711827 0.049195534842580095 0.25689716055878925 0.602774245416 0.835508970381 0.9064844739069999 0.4054615331343434 0.17710398444419856 45.0 29.4963 0.34667851315214915 -1.8815
en-zh_B Huoshan_Translate.716 0.37287602212433896 76.57814768365448 39.0319 -2.3373 26.5921 0.34864 36.32423638928067 0.30543618487412233 0.5447558054900157 0.8845369265932321 0.7692532739240797 0.249438219778392 0.15875166086011228 0.5361337950059091 -0.3764022489949136 -0.3731487751143692 0.09003208343028939 0.33178126252399515 0.612914236248 0.844382567701 0.9079576847669999 0.4488437636604346 0.2611714081867625 47.6 33.0039 0.39091268227644493 -1.75056
en-zh_B OPPO.1147 0.446602373049545 79.967495942683 39.1992 -1.2726 27.5283 0.35992 37.21165007052186 0.3317493772389018 0.5742923122317082 0.9025874600268909 0.801362849162479 0.2810510708231741 0.168163909788559 0.5792212778129661 -0.3618832839298303 -0.3663015885853927 0.07209573440090852 0.3747147971039115 0.621419781382 0.850876318759 0.906350707334 0.4779658409962575 0.30084084267550704 48.0 34.2624 0.4128398675082727 -1.6962400000000002
en-zh_B SJTU-NICT.706 0.3867086930507629 77.6804594041831 39.7026 -1.1247 26.6813 0.35067 37.31236904090268 0.3109129991786941 0.5595250747071997 0.8917674416228235 0.7857069786853448 0.2470191845709252 0.16277093805784815 0.562601877665423 -0.35800598550378365 -0.3701054486531465 0.08385805129526742 0.3374979252873149 0.6155246523269999 0.8494548088860001 0.906695492948 0.4700342751750447 0.27572048844294084 47.4 32.0473 0.4024054340437601 -1.76735
en-zh_B zlabs-nlp.322 0.0818359919552146 68.6805778595591 25.9412 -1.3527 18.7814 0.24491 24.04234901269389 0.012223360537221636 0.34900752947125874 0.8290812985233342 0.6767100285323617 0.17165929526259074 0.13598194199670868 0.3054017936140929 -0.4474451376121025 -0.4480794581764592 -0.0021430585331090398 0.19697026622170327 0.541636698166 0.800369806065 0.904082035261 0.3129681105395761 -0.08375835318869697 38.4 27.0653 0.2689057402444113 -1.9765700000000002
en-zh_B Human-B.0 0.567652179911657 80.6457725947522          0.2846574985043962     0.08782673881708399 0.3131102628438446   0.901582249647      
en-zh_B Human-A.0 0.528826304283249 82.54680820335071 36.8525 -1.9448 24.3923 0.32421 34.95665691114249 0.3383533745499693 0.5725265895620735 0.8997623961095729 0.8045392969809735 0.2998560183061634 0.16838997904503974 0.5878544546288079 -0.3709975724371916 -0.3874889056530633 0.10252282215211388 0.32383041118096945 0.597163898449 0.845929881523 0.901305930183 0.453013191927009 0.29763326749247626 43.5 29.2733 0.3769435415251972 -1.93183
