LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu paresim-1 prism
en-ta zlabs-nlp.1181 0.30737023536268604 72.7393911439114 6.7401 -0.8933 41.6298 0.47988 8.836409099999988 0.04581304077059031 0.4063811365943402 0.8238160595642403 0.6732577777858824 0.35109327895570824 0.14331833074548453 0.41676660127379 -0.6448654059036425 -0.4870278809890151 0.27269269156773657 -0.024964078288525343 0.34756069650128485 0.6971522856999999 0.918436922 0.89693469 0.2898999762795866 0.034921718798577785 7.4 0.2898999762795866 -2.09628
en-ta Facebook_AI.1393 0.662631787845883 79.01258680555559 13.6776 -0.7783 49.9964 0.56396 14.027758499999988 0.29638155695050955 0.6356160135176033 0.8783701087208464 0.7685272710025309 0.4401278779735367 0.15891766680077085 0.6944153929110617 -0.5414885684518602 -0.4151483740285039 0.3697503314406708 0.0032646549697965387 0.5103791481032968 0.74917453 0.933188178 0.9005788370000001 0.5118156464323401 0.28775093204528096 14.7 0.5118156464323401 -2.02989
en-ta GTCOM.1389 0.513686725533013 75.49916247906201 9.642 -0.8151 46.3607 0.5291100000000001 11.237789099999988 0.1872456236332655 0.538661781908013 0.8400321194333956 0.7064974354058504 0.3415675202362872 0.14289016991497575 0.5466003468539565 -0.5813149896114278 -0.4372886247709393 0.32635905887321737 -0.03951157222501934 0.42592913706600666 0.735635224 0.9285684270000001 0.9006777970000001 0.4517064988538623 0.21697615365684034 10.4 0.4517064988538623 -2.0432200000000003
en-ta Online-Z.1637 0.325949847939218 72.77364185110659 7.3707 -0.8699 41.7516 0.47954 9.261503299999998 -0.04366562286764383 0.3180761917717755 0.7731296433610841 0.594512078627944 0.2346709915819301 0.12678368150256 0.2926473637390882 -0.6603802080525069 -0.4748787608370185 0.282980944395238 -0.06389018067717553 0.2452933780215681 0.70747685 0.917858187 0.896466915 0.2669243098571897 -0.0068765622749924656 7.8 0.2669243098571897 -2.12925
en-ta SJTU-NICT.386 -0.819143799711236 49.6263706140351 1.7531 -0.9379 25.004 0.29717 4.738012500000006 -0.7378207326307893 -0.4922370356861502 0.5288743993546814 0.2895275649316609 0.041433625279918486 0.07907235938444401 -0.5800497501641512 -0.8976951830404127 -0.5871062475442886 0.1480026206304398 -0.18696811183542011 -0.5326140878684819 0.61910888965 0.880555713 0.87074937 -0.4107879814654589 -0.6938224300965666 2.8 -0.4107879814654589 -2.26831
en-ta Groningen.1261 0.153016030277978 71.8845541401274 5.9787 -0.8819 39.1524 0.45253 8.070674999999996 -0.05524864660948515 0.26995019029174 0.7877114024590701 0.6190013280138373 0.2690488646602244 0.13509506929283904 0.2651769094672054 -0.6852524747597611 -0.5050680335909128 0.2495881366266473 -0.0068993130028247845 0.2814877821784467 0.6819989429000001 0.913264393 0.894491061 0.2531230800300837 0.0011954705715179444 6.8 0.2531230800300837 -2.07195
en-ta OPPO.1510 0.479587373823801 77.3713494461229 12.1687 -0.7823 49.0341 0.55303 12.859707400000007 0.2345471621900797 0.569544451999478 0.8639084501573816 0.7526886241585016 0.4137089362503066 0.15345201813344875 0.6214862983766943 -0.5709266458496836 -0.4242445302307606 0.3583118328112677 -0.02375404033623636 0.4684126813877374 0.743013901 0.930257206 0.898883399 0.4724910305738449 0.2189778093844652 13.0 0.4724910305738449 -2.05448
en-ta TALP_UPC.1049 -0.407054599779413 58.2242063492063 4.6766 -0.9117 35.6719 0.41347 7.1081122 -0.13876361901313067 0.12055570137128235 0.7396887598289177 0.5790174625366926 0.2583227489500896 0.13050723187413715 0.14547159466519952 -0.7162569944347995 -0.5308236368149519 0.21459834936287286 -0.047696805596351616 0.17819116065837445 0.666265132 0.905054448 0.8864187029999999 0.16985407618805767 -0.14834124510735272 5.3 0.16985407618805767 -2.12086
en-ta UEDIN.488 0.2311146151186 74.0596421471173 8.4231 -0.8503 43.0503 0.4932 9.85334979999998 0.11947581037133932 0.4293860386246816 0.8295527006629855 0.6973688700199128 0.3616614329555632 0.14645423849814376 0.4576533667948097 -0.6295054607283878 -0.4724319774424657 0.29392196870623244 -0.011991569060832262 0.39960723970644174 0.7109528890000001 0.920979797 0.896204349 0.3689506241641939 0.12275724632292985 9.2 0.3689506241641939 -2.04734
en-ta Human-A.0 0.7621434017185951 83.436170212766          0.44983921382161496      0.008382900914177299 0.4423031339161098   0.8960250740000001     
