	Pearson	N	Winner
HUMAN_RAW	0.93537379108905	9	True
COMET-QE	0.6614616221003519	9	False
COMET-2R	0.6441706947545244	9	False
COMET-MQM	0.6307761686458622	9	False
TER	0.6160103979439667	9	False
prism	0.615773369655213	9	False
COMET	0.6052846853175716	9	False
YiSi-1	0.5895045404611678	9	False
EED	0.5865854739296154	9	False
YiSi-0	0.5626232686580309	9	False
MEE	0.5624577744407288	9	False
SWSS+METEOR	0.5449201744515715	9	False
mBERT-L2	0.5303439314528704	9	False
esim	0.5135894143408961	9	False
paresim-1	0.49493418118024324	9	False
sentBLEU	0.4694760756909824	9	False
COMET-HTER	0.464387041909434	9	False
CharacTER	0.40996030319539767	9	False
parbleu	0.39802814728750074	9	False
chrF++	0.391629259472151	9	False
YiSi-2	0.3714442064120958	9	False
BLEURT-extended	0.35944812016785216	9	False
BLEU	0.34819099519382335	9	False
chrF	0.3374554515447597	9	False
BLEURT	0.3199376758033395	9	False
parchrf++	0.29554725679078825	9	False
COMET-Rank	0.21402020471446734	9	False
BERT-large-L2	0.21145147008194987	9	False
BERT-base-L2	0.14454852495173362	9	False
OpenKiwi-XLMR	-0.5766839868075979	9	False
OpenKiwi-Bert	-0.6713898448081645	9	False
