LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BAQ_dyn BAQ_static BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
zh-en Huoshan_Translate.919 0.101990711185132 77.46785085143858 36.6382 -0.5348 62.7048 0.6532600000000001 34.91800084999997 0.6791566202825001 0.6494624348410014 0.3503075472861528 0.3676524479500949 0.2447751935571432 0.2766746661961079 0.5231851712684147 0.9143878097757696 0.7766161434538662 0.3579365594523388 0.18168613002568634 0.5368990222197026 -0.4191852695551013 -0.3222323603546247 0.6114278060002579 0.2546789291612804 0.3216596837313846 0.4647938634428434 0.71982469 0.9433049805 0.9090863015 0.4985201808456332 0.34112814654409884 40.5 66.7157 0.4994564600195736 -1.5248899999999999
zh-en THUNLP.1498 0.0277692790367291 76.4810240963855 35.8506 -0.5404 61.6887 0.64285 34.025109500000006 0.6766917012969993 0.6463068471964992 0.3419257179684937 0.3628899571076035 0.2426043211147189 0.2695733392909169 0.5192947181565687 0.9165386367351748 0.7793112639710307 0.3614525437846333 0.1808945858039392 0.5268031283468008 -0.4310053184373129 -0.3288178150756285 0.6033713507748042 0.2748155891764909 0.3271719030765817 0.4599596687108274 0.7134249205 0.94236122 0.909264448 0.4939896082021296 0.3304859785102308 39.9 65.6226 0.4953394547495991 -1.54826
zh-en SJTU-NICT.320 0.0163558107761155 75.9865790976585 35.7963 -0.5455 61.3669 0.64043 33.51997920000004 0.6749650648340013 0.6443017453074997 0.2957480174154043 0.32555874167755244 0.20272214409708975 0.23603008453547955 0.4726860467423685 0.9023988110171632 0.7466566098630428 0.3262614244572142 0.1754368509028701 0.4690692174844444 -0.43779328281112256 -0.33303850425453857 0.5918908486538544 0.2516814072988927 0.2878394112316892 0.45426856420556 0.709625306 0.9404440215000001 0.908144563 0.4695827129352838 0.3016848626695573 39.4 65.1652 0.4705393550619483 -1.60806
zh-en dong-nmt.1207 -0.0781832335644553 74.71362586605079 27.1806 -0.6091 53.8401 0.5643699999999999 26.42025455000001 0.6063501019849997 0.5795985479890016 0.12613282146304847 0.18278169173747305 0.0521629376001656 0.07526660096645356 0.3678190985047258 0.8684687573336997 0.6856172715499997 0.2901580018913956 0.15395675943368134 0.3325273950528353 -0.5330388621177309 -0.37976902993861583 0.5268610044058286 0.18693552643526345 0.22033714500442148 0.4080022654755264 0.6651026815 0.927949571 0.904933755 0.37644186145998537 0.13983700091019272 31.4 57.2775 0.37808050407748667 -1.90005
zh-en zlabs-nlp.1176 -0.10562523274938 72.2275362318841 22.0601 -0.674 49.7695 0.5261600000000001 20.758553250000027 0.5733527070839995 0.5488790728879999 0.018791826225817203 0.083997608281672 -0.034962223164737224 -0.0011084332540631297 0.2683253321931697 0.8637855282779783 0.6717010505944491 0.27040509645039856 0.14877788175302714 0.2203610552111641 -0.5782957632854151 -0.4224678503978066 0.4769726280947295 0.20370039223693312 0.1753400242039934 0.3664160505924493 0.615331256 0.9172492004999999 0.9015354729999999 0.29321051097288725 0.05712855335697532 25.6 53.6899 0.294670695476234 -2.06638
zh-en DeepMind.381 0.0508906217127797 77.96422313084109 35.4079 -0.5482 61.7561 0.64373 33.80027659999997 0.6714417201010008 0.641137686988999 0.3368492610305548 0.3560077657029033 0.23558789725601675 0.26620697156339884 0.5196991412877106 0.9125733127323912 0.7731580360233784 0.3567976875295681 0.1792326853116338 0.5247185745285824 -0.4310613339336837 -0.3290504152175272 0.6034070399353362 0.263112156781368 0.3253857404915616 0.4581089864652778 0.711709557 0.9421544075 0.908943078 0.4961088918708265 0.3311342271454633 39.4 65.8688 0.4973220801819116 -1.54738
zh-en Online-G.1569 -0.071139302557744 71.7175438596491 27.4585 -0.6081 54.7443 0.57733 26.801624 0.609628040652999 0.5830662241620006 0.12766175674647093 0.18554393699020147 0.03890570276975632 0.0814532423466444 0.3205631867931225 0.8345087943295948 0.6061469633057713 0.2651080650548884 0.14179444232275895 0.2840151161979884 -0.5232291713678465 -0.3693766001255717 0.5237995627210119 0.06768316313810646 0.17250243718456476 0.41541300897079547 0.6768956895 0.9280909825 0.9042423690000001 0.3815632253140211 0.1240865454301238 31.9 58.3625 0.3816140900580213 -1.88578
zh-en WMTBiomedBaseline.183 -0.332754233570021 67.2691394658754 16.439 -0.733 41.66 0.44199 17.02458815 0.5154426217454999 0.4921110693915002 -0.2479657657407224 -0.10068530604243278 -0.20085934774577616 -0.216654070019722 0.10325682524824514 0.8390433799978345 0.6144556488059462 0.23398440332833706 0.13094851630460605 -0.003261097022332251 -0.6560933143264746 -0.4566667695622891 0.42459000364419824 0.1577090487778187 0.07235728040710092 0.3270483889933889 0.5772581025 0.9038103485 0.89668877 0.1322757600583136 -0.16274198668822645 19.6 44.5575 0.13420826184004545 -2.3721099999999997
zh-en Huawei_TSC.889 -0.000323371131514792 72.3770278099652 34.2778 -0.5621 60.3304 0.62897 32.700137299999994 0.6694649143079989 0.6398774120089998 0.3445891477912664 0.3615241279825568 0.2455264139510691 0.27389601773023603 0.5192176305823959 0.915399428071454 0.7804389692544937 0.3612967426265241 0.17907521780346322 0.5263591757928953 -0.4403613686441051 -0.3351153078090865 0.5960890524957484 0.27819336095359176 0.3300277988621965 0.4541577118824696 0.7069611065000001 0.941426303 0.9088064935 0.4946715419441461 0.33911755691468715 38.2 64.3447 0.4959069110387936 -1.56235
zh-en OPPO.1422 0.0505498443868076 77.5104395604396 34.6868 -0.5552 60.8978 0.6351399999999999 32.70763369999998 0.662349374752001 0.6350792882634999 0.3284431908652186 0.3501609385535121 0.2296082076840103 0.2556257472634316 0.5054337585158646 0.908980621620547 0.7683466790169478 0.3503521768071096 0.1770892484134411 0.5136196487341076 -0.44553669476578345 -0.3370281752161682 0.5934310293115724 0.2545970910750329 0.3053476205402985 0.4516218142397627 0.70571657 0.94131624 0.9076286109999999 0.481420605296269 0.31879990131407976 38.6 64.8423 0.4823709543375298 -1.5757
zh-en Tencent_Translation.1249 0.0630899720754086 76.6650485436893 36.7609 -0.5302 62.2313 0.64803 34.73781009999994 0.6765595839795021 0.6471735430860007 0.3384364417791367 0.3633011259995401 0.23553828206285835 0.27104505160450937 0.5168649946479127 0.9126935097677632 0.7725911499038338 0.35166926635796153 0.1787333903405812 0.5305185684617609 -0.42197953952025213 -0.3233736999677494 0.6082770268554933 0.2559162629432976 0.3132723290529102 0.4624834901392575 0.718330327 0.9430300954999999 0.9090743090000001 0.4978680799156428 0.33708120615035303 40.8 66.1468 0.4990774971973151 -1.53195
zh-en Online-B.1605 0.0603791140407922 77.77333722287051 35.5125 -0.5464 61.032 0.63698 33.493295550000006 0.6792674630004996 0.6476906220579994 0.30151700359582895 0.33148063769936564 0.20816408527642488 0.24093371078372006 0.4797003900068812 0.9043397470060736 0.7500322634875775 0.3295377772747524 0.17588864979643554 0.4742931892117486 -0.4406813929703746 -0.3313243267298676 0.5922600675668512 0.2523958751577884 0.29052976264432073 0.4551752306463906 0.7113417190000001 0.9409972205 0.9084806025 0.47871918236278005 0.3070873751565814 39.3 64.7356 0.4793827127553522 -1.59009
zh-en DiDi_NLP.401 0.0886791722178333 77.62848484848479 36.6152 -0.5359 61.8859 0.64512 34.342232650000035 0.6840854509410011 0.6536459420089992 0.33320110889524224 0.3520786280632019 0.2294040612131357 0.26227484887093305 0.5103402201617137 0.9087614583601245 0.7656954479888082 0.3428310519709994 0.17837496230379182 0.5162269191779196 -0.42781715010398935 -0.32653614132525394 0.6003135891195621 0.2608609286230057 0.3148401923263445 0.4595201628436374 0.7162414109999999 0.9425661525 0.909197343 0.4920979883857071 0.33279879720881583 40.6 65.7408 0.4927978765806183 -1.5588
zh-en WeChat_AI.1525 0.0772065883080364 77.35321489001691 36.9406 -0.5347 61.7441 0.6425 34.803612349999966 0.6789913392559995 0.648798736960001 0.3347332963719964 0.3604076825082302 0.2385819585621357 0.26394704227149485 0.5209826153563335 0.9148491083206608 0.775255618430674 0.3565916992906805 0.1802693738083407 0.5287436073198915 -0.4268626800194141 -0.32488056721305475 0.6070166640615586 0.2606998344734311 0.3195459107318893 0.4615741526249518 0.7172411245 0.9428596445 0.9093090825 0.4919697779715061 0.3320405392684043 40.8 65.5033 0.49381758162193 -1.53896
zh-en Online-A.1585 -0.0168940059283705 76.09393404004709 30.3062 -0.5988 56.9223 0.5959300000000001 28.78420480000005 0.6134064875885014 0.5888522594035001 0.15924982506036758 0.20472630717977885 0.07683931935206055 0.1135641065016389 0.36251255474798383 0.8551904219998978 0.6543980294950307 0.28533668058132755 0.1501164290541642 0.34443860985152425 -0.4987984037097957 -0.3631205652896315 0.5486883932499452 0.12220440401602535 0.2100683436561376 0.4243649575581261 0.6819689611 0.9312888365 0.905726058 0.38974765526875854 0.15912013202533126 34.4 60.6073 0.3909301278339699 -1.8123799999999999
zh-en Online-Z.1646 -0.13497527799592698 72.6213114754098 21.7997 -0.6197 49.904 0.52974 21.686512099999995 0.5926818487769999 0.566898561639 0.0390911963954568 0.10644890888035298 -0.0983422611169517 0.006455399036407471 0.21773123512091114 0.8203890811717137 0.5296979876980186 0.20719780803730103 0.12791424032340934 0.1317102172654122 -0.5659082209787321 -0.402213621926494 0.471906767869925 0.015173984294757246 0.08067922791931778 0.3900530816586051 0.6410601465 0.916773657 0.9014688485 0.3485474535506219 -0.0047742646150290965 25.4 53.3463 0.350275124530308 -2.15055
zh-en Human-B.0 -0.0290093549325213 74.79997077732321 25.1652 -0.6621 53.8202 0.56985 23.004888249999976 1.005092190946 0.955636271960001 0.2497238395139575 0.274812765520066 0.18051316127926112 0.19433197018504145 0.4644634063602425 0.8971078260368668 0.7396526674851776 0.3360660033994245 0.16975558070837288 0.4571008275784552 -0.5348124015818697 -0.39459218763350506 0.5198734753784222 0.25838228716608136 0.2618093625092879 0.4006604578807636 0.6483133145000001 0.9317148040000001 0.901522355 0.42099169284664095 0.256772395901382 28.1 57.8932 0.4205451247887686 -1.8889200000000002
