LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism MEE
de-en_M OPPO.1360 0.219925007273862 84.5966801256169 58.5012 -0.3891 69.6213 55.94166292993632 0.5204046026536614 0.5238002101706851 0.336426763791757 0.4560426047842973 0.6423592589427806 0.9515204237441824 0.8376012138879982 0.3708880153014208 0.2406836247488818 0.6566873905005728 -0.29002162862008096 -0.2452788946984016 0.2447160988998641 0.3793085531396851 0.789525163057 0.9618396917200001 0.9289684254780001 0.6646438158265534 0.5075890422911401 64.2 68.5779 0.6310107390841196 -1.20515 0.6628391489839006
de-en_M Online-Z.1629 0.0853275778302752 78.8101398601399 48.1221 -0.4549 64.667 46.31009235668785 0.3853014048687212 0.3752901689072323 0.20699921443963507 0.34386749802880984 0.5711714756010682 0.9263040928692099 0.7510711860315056 0.2816971122664173 0.21426097552568274 0.5456362619794383 -0.33679226561126063 -0.2841087299025363 0.1748998509067449 0.3197865591283627 0.742958994904 0.949287197452 0.92686337707 0.5905577763962517 0.40317623193856256 52.7 64.2833 0.5550445073040997 -1.4064299999999998 0.6086893423748995
de-en_M Online-B.1587 0.16667575303044102 82.08466569767441 56.924 -0.3925 68.9738 54.382573375796106 0.5096069805941005 0.50632589385388 0.324065200704488 0.4486580524285128 0.6368073304486312 0.950819120794582 0.8325473582099198 0.3552490409178537 0.23759213954507355 0.651662108235678 -0.2951454109826577 -0.2546277570496699 0.2430291498827327 0.3819732530410313 0.785751275159 0.961524854777 0.929253640764 0.6613608377042469 0.4976578028053994 62.3 67.9257 0.6240318298624581 -1.21488 0.6526215462086665
de-en_M WMTBiomedBaseline.387 -0.0792202424244824 74.17874556737591 42.9702 -0.5005 60.579 40.227993503184685 0.23203899471243475 0.2390564400109516 0.059294210739765964 0.16674691975876024 0.4511973074035257 0.9094110325038148 0.7144620169120229 0.2398097948367093 0.1842798717436917 0.3717968907693674 -0.3992873016427498 -0.3285905823253902 0.1480933667534286 0.2362752808720633 0.706858701911 0.937998584713 0.9222908076430001 0.4756163615780841 0.2527388302099173 47.1 60.7317 0.4434070648779725 -1.6365 0.5689953542861368
de-en_M zlabs-nlp.1153 -0.10568078403021 71.1235182550972 41.8238 -0.5169 59.7798 38.40868636942681 0.0432519647156357 0.092186006884666 -0.11752605890961967 -0.008136241773890841 0.3764971410102288 0.8794684523242009 0.6389250763852126 0.19891777495015892 0.1727331824605884 0.23336571922561355 -0.4075973619010826 -0.34343538096613563 -0.03157094448425208 0.048660604601168334 0.691255061146 0.929111993631 0.925860277707 0.31929899568960163 0.09890008816483674 45.5 60.0302 0.287172428176851 -1.76702 0.5479555995995
de-en_M PROMT_NMT.77 0.17066115270400506 79.79421768707479 53.8826 -0.4119 67.1691 51.20384789808919 0.46068575921332 0.456766116714022 0.2724124944418859 0.4004128836902084 0.6094628354059948 0.942781757746058 0.8111029855005301 0.3365564349106239 0.2277787064094105 0.6101699998614135 -0.3125855592617313 -0.2677092631311885 0.2272176236507429 0.3590830144703768 0.771013634395 0.958050359236 0.929761736306 0.6341887181162075 0.4580904149610526 59.3 66.389 0.5993342908645037 -1.27518 0.6315738479394851
de-en_M Human-B.0 0.18588509224483804 82.23744911804609            0.3713836562381183     0.2081341141087424 0.3606985325147961   0.9230898458600001       
de-en_M Tohoku-AIP-NTT.1442 0.17884288908904802 81.54130850047758 58.8903 -0.3752 70.6446 56.13736840764331 0.544941096472892 0.5456647098823717 0.3531537042396843 0.4847957227640091 0.6595384109338188 0.9566100708143728 0.8475745904217858 0.3849004191600801 0.2496333061433356 0.6844682247633007 -0.2768422371621051 -0.2414163626190631 0.252738400380228 0.3975879102280945 0.7945909923569999 0.9647058522290001 0.9313817375799999 0.6803872919694823 0.5175350311740189 64.3 69.6035 0.6445486482968376 -1.15117 0.6690101011979691
de-en_M Online-A.1571 0.178511763762076 81.326332429991 54.9694 -0.4052 67.7444 51.77712535031844 0.5177023161368765 0.5156306510138664 0.33064895560786983 0.4566326224310383 0.6351572413305948 0.9505885947958396 0.8264467934134659 0.364382152263048 0.23654199380580596 0.6476658690032686 -0.3099666883590406 -0.2640532969764084 0.24552267328569086 0.380270359297372 0.774820698089 0.9609648955410001 0.92894423949 0.6636218275590118 0.4872334274137096 60.9 66.7514 0.6285859177256845 -1.20366 0.6339630272304875
de-en_M yolo.1052 -1.6178034336528602 20.4917458163727 0.3057 -0.9099 17.8793 2.542555541401272 -1.628903836486446 -0.9054893745738231 -1.0494729144937671 -1.445067551105645 -1.180039356772307 0.3136621194660284 0.10337802906799468 0.000252187162990664 0.07088054663973073 -1.5023081296568463 -0.9298794671729924 -0.6730485541805339 -0.7105956335427465 -1.1019824894418002 0.324157718344 0.791691568153 0.8129591401270001 -1.1221506483235937 -1.116743213355921 0.4 18.8966 -1.1230931239902593 -5.16898 0.15963690309871734
de-en_M Huoshan_Translate.789 0.228241149897323 82.5553579895685 58.7082 -0.3797 69.8943 55.88656968152871 0.5312769075108182 0.5341143873466807 0.34543525520593504 0.4735758005433781 0.6543656654703389 0.9538907283917071 0.8425473948952499 0.37032853730908905 0.24494024011135934 0.6732439137710508 -0.2833699047036965 -0.24458075735457005 0.2387436011295979 0.38689102141815385 0.7933123808920001 0.963941453503 0.9310458 0.6795444541011646 0.5147805191718848 64.3 68.7555 0.6424455319216866 -1.16257 0.6641951486421659
de-en_M Online-G.1553 0.172392928080582 81.54459161147899 55.5219 -0.3903 68.8572 52.15346318471343 0.5186410926899333 0.5149010247295829 0.31826965483320746 0.4584189433960398 0.6375148825205056 0.9463915278826645 0.776093971444543 0.3446952503042974 0.22917822322948994 0.6431108738586402 -0.2918409952372574 -0.25243773820578674 0.22511973674082836 0.3768890779275613 0.783556273885 0.959896821656 0.9302687235670001 0.6649025525707918 0.484165665782561 61.0 68.0946 0.6272564899176359 -1.23824 0.6408605282012949
