LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim parbleu paresim-1 prism
en-iu_news NRC.715 0.3693733919317029 71.8734922354641 14.1373 -0.8106 36.2079 0.39653 17.282854092526712 0.014925752866522696 -0.029090093650931355 0.9188284175152296 0.9299459392277796 0.00814269545705665 0.4043745199011497 0.9809518964212136 -0.5576260329544003 -0.4859340201413716 0.25376874735831845 0.15293842249573125 -1.6076880437650078 0.5301457943060494 0.8357538391459085 0.7436520035587183 0.6253454410573765 18.93487544483982 0.6253454410573765 -2.10163933692527
en-iu_news Facebook_AI.1465 0.3683680796933549 74.56708424110379 10.031 -0.8472 33.8872 0.38738 14.408472313167277 0.030591782662367905 -0.05522202116526743 0.91429767463807 0.9229511553706649 0.008362936943698922 0.3407970868205228 0.9703407022823642 -0.5775380604048763 -0.5013152675683282 0.2247224172056045 0.15562456002147385 -1.5992181773499663 0.525678203558719 0.8307646775800712 0.7402352469750887 0.6119074018851082 17.242064056939473 0.6119074018851082 -2.018813753153021
en-iu_news UQAM_TanLe.521 0.0838663250055989 68.8935865504359 27.4176 -0.7524 39.1739 0.4173 30.49084000000005 -0.01490564712213876 -0.1275867503732973 0.8922297646261725 0.9023573379923864 0.007385056507456248 0.4447491040803399 0.9371142013336522 -0.5665371366407158 -0.4619429891617485 0.3178408389095252 0.14640956574726147 -1.5967346310270851 0.547984556654804 0.8340069501779365 0.7383677224199294 0.6004867929262623 32.56348754448401 0.6004867929262623 -2.1848095950605013
en-iu_news CUNI-Transfer.1009 0.40861643464673497 77.4147316538883 6.4224 -0.9253 26.1504 0.29319 11.690830604982205 -0.18383045932576325 -0.14030472789675633 0.8924362549465481 0.8921318781598607 0.008608129597098104 0.3223516592731246 0.8967474937677595 -0.6645017686657112 -0.5619189472756352 0.13625830680351378 0.1513245187553965 -1.5963552608317115 0.4440429118149462 0.7979057266903911 0.7346331110320269 0.5594885523182429 14.767829181494667 0.5594885523182429 -2.0436516385978685
en-iu_news UEDIN.1281 0.081497875799269 66.4018655186552 3.8171 -0.9441 22.5838 0.26302 9.040589750889703 -0.32657699910028976 -0.3746695288427148 0.837389385617368 0.8616166304492017 0.007168046315653757 0.2590915328325561 0.8226207372185599 -0.7249710114185753 -0.6044181953784198 0.11017293415124103 0.1521831104657828 -1.6343191319645725 0.39927513437722345 0.7799115227757999 0.7251748014234879 0.5322906951648697 11.638220640569408 0.5322906951648697 -2.29703870871886
en-iu_news Groningen.1392 0.339460713633816 71.5971685317057 10.4643 -0.8607 33.6266 0.37272 14.284985907473304 -0.021585030609814718 -0.10466916912974412 0.9024540659358388 0.9155612883088428 0.007535808963475445 0.3375372010283885 0.9512912001248676 -0.583395530821441 -0.5091610319116998 0.21578768319097325 0.13863296138381195 -1.61404827068762 0.5102751864768683 0.8247004811387896 0.7385503494661928 0.5800049433027298 15.842918149466195 0.5800049433027298 -2.121393269039148
en-iu_news SRPOL.383 0.28167485006403903 72.75500341530051 6.0653 -0.9271 26.4466 0.29768 11.266560427046269 -0.17778956441480495 -0.12703525133006727 0.8963882582096443 0.9000653877483143 0.007027248921291447 0.3354012004901417 0.912788079815562 -0.6475123806458658 -0.5611907650355342 0.13486129962414636 0.15532250914232162 -1.594721507814007 0.44802004654804295 0.8045835302491103 0.7375803110320279 0.5634553664121976 13.916868327402135 0.5634553664121976 -2.045496600469748
en-iu_news Helsinki.992 0.296468084593719 75.17451499118171 4.7404 -0.9302 25.108 0.28611 9.61080227758007 -0.19460512541261007 -0.1985424200477231 0.8873123016506699 0.8914462317457402 0.00805962140185067 0.2744635929745236 0.8998452553850369 -0.6866182155678722 -0.5785473918973126 0.12471156099520996 0.1410833470443814 -1.5859852871913926 0.43919905124555136 0.7992904462633448 0.7370026092526677 0.5414619012023206 11.686761565836306 0.5414619012023206 -2.124878114882561
en-iu_news OPPO.722 -0.3841597631274121 48.224799099967896 1.951 -1.03 21.2798 0.24704 7.143511672597861 -0.5664568610462853 -0.5656988527261224 0.7859084044427369 0.8059928392812451 0.0033229939660023872 0.22743800203739856 0.6871678639958974 -0.7493011987673621 -0.6455014763247501 0.0843211577468414 0.10240714086942188 -1.6574663767611004 0.36553190370106825 0.7675509088967981 0.7209507074733087 0.4566542374467298 8.760213523131684 0.4566542374467298 -2.642138121565833
en-iu_news MultiLingual_Engine_Ubiqus.525 0.42537825745242497 75.2600698486612 5.7275 -0.9215 26.7545 0.30019 11.1700812811388 -0.14893977543425305 -0.1428781939411927 0.8938270451116551 0.9084269890475528 0.008165014811177916 0.3387256399265632 0.9301565401812888 -0.6460885032529237 -0.5618738178707314 0.13839110315416744 0.14981659380619636 -1.6090149326574759 0.4502393708185053 0.7997337081850544 0.7385329786476863 0.595964154248454 14.022206405693955 0.595964154248454 -2.096848702782916
en-iu_news NICT_Kyoto.1219 0.3636240340630009 79.2178380600082 3.9679 -0.978 24.3633 0.28265 9.319832597864773 -0.14737254814957385 -0.1979610055472927 0.8785356926794737 0.8856633069172659 0.007383899256351194 0.2718419568989888 0.8893422831022231 -0.6868179159269739 -0.5803101636893596 0.12780587304784252 0.1433637515956609 -1.6309057101501263 0.443554590377224 0.7931494355871894 0.7408401096085415 0.5523086340508003 12.992099644128126 0.5523086340508003 -2.156430201024909
en-iu_news Human-A.0 0.574480187213835 90.5324773413897          0.009319204827909894      0.14814023538973195 -1.6025738942029213   0.7412213217081863  100.0  -1.550149688882562
