LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BLEURT-extended COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
en-pl Tilde.1430 0.272129910163013 69.713372600349 24.9275 -0.6186 51.5745 0.54637 24.007781599999976 0.2826413830444217 0.6422117549553513 0.8830307868523524 0.7610101527497173 0.4993145301640034 0.1734757784939383 0.6446160239726305 -0.4916682559437546 -0.3993298410312273 0.466168495064981 0.3137120650652796 0.5499930956531316 0.6222172608 0.941880507 0.9283449109999999 0.7203257946074009 0.402665502153337 35.8 58.0361 0.7023223836738616 -1.2352100000000001
en-pl CUNI-Transformer.978 0.254796149514193 71.75697236180899 24.7598 -0.629 51.4385 0.5455399999999999 23.74209260000001 0.2775215988010168 0.6458496440043673 0.8813962749782951 0.7523658546209335 0.4954384065553313 0.1749483252542872 0.6343697735667229 -0.498433734927539 -0.4018699319320731 0.4643447388020854 0.2817414826061577 0.5121161278113723 0.623595369 0.9421369079999999 0.929036964 0.7167927856482565 0.3819930949658156 34.7 57.8665 0.6997176997233182 -1.22726
en-pl NICT_Kyoto.1233 0.299230991343066 72.4107112794613 24.906 -0.6541 51.3672 0.5425300000000001 23.6911308 0.2888640218600631 0.6166512645054608 0.8757693566055968 0.7496397169493139 0.5112759865289918 0.17056257913191722 0.614590325364843 -0.5029620162840368 -0.4045737095437944 0.4640368751856547 0.2744029631037265 0.5028285966403783 0.6209232704 0.9398191779999999 0.925192798 0.6944374460913241 0.3765542965829373 34.8 57.8062 0.6812730784770101 -1.25309
en-pl Tilde.1425 0.34835556939135404 74.0329072681704 24.8711 -0.618 51.6437 0.54696 24.319310999999963 0.2944632921889424 0.6534188556857408 0.8854811727106571 0.7626365268081426 0.5059537245642168 0.17595458743413428 0.6590486842300742 -0.4961476813840339 -0.39831287259282544 0.4690983568851403 0.3027861896641553 0.5559424156844616 0.624049558 0.9420570559999999 0.928080441 0.7231673407144844 0.4163188184276223 35.7 57.8965 0.7050448195450008 -1.2253399999999999
en-pl Huoshan_Translate.1137 0.382801635042983 76.305796178344 26.0949 -0.6126 52.7134 0.55883 25.04697719999998 0.32012436688691376 0.6809344591796398 0.8918237030580641 0.7724090511798859 0.5145349358450149 0.18002964590907305 0.6922276487313211 -0.4777394129204358 -0.3902365829385817 0.47620078536980304 0.3130827129464597 0.5543232772313058 0.634152258 0.944077088 0.928355303 0.7517492701932788 0.4491835539489985 37.1 59.3642 0.7360845727231353 -1.1883
en-pl Online-A.1576 0.0967131240008721 64.4909111411818 23.7066 -0.6301 50.9747 0.5422 22.817331099999947 0.13364325948059558 0.5215250646742061 0.8462378492988646 0.6755496672317386 0.3915189522167202 0.15290470146872126 0.4964052189923823 -0.4996033455731811 -0.4018801110773347 0.4537190223972237 0.223675522075966 0.3659658403526991 0.621857415 0.939107565 0.92939129 0.6766592390425503 0.2512408262044191 33.4 57.2243 0.6571715232841671 -1.29554
en-pl SJTU-NICT.899 0.219021043567251 68.96729729729729 25.4494 -0.6165 51.7845 0.5476300000000001 24.458222899999967 0.2386799952685833 0.6247519576391205 0.8747919447449968 0.7397590460032225 0.4719860454084519 0.1705823349758075 0.6031808063481003 -0.4896551442089692 -0.3979938488230109 0.4724399436467103 0.2612472387757152 0.4952471245378256 0.624906018 0.9419904720000001 0.9300120209999999 0.7141911954209208 0.3517806114554405 35.8 57.6157 0.6921856136284769 -1.24383
en-pl OPPO.1076 0.31025299799229605 72.0303250849102 25.4922 -0.6158 52.1752 0.55301 24.462587399999986 0.3281061646714807 0.68090485435538 0.8896923131616786 0.7706215188056229 0.5196609625105957 0.1769689189652251 0.6931026372313499 -0.4835276690678234 -0.3931865180861205 0.4728502742940411 0.3113422367312014 0.5636909676007926 0.632000297 0.943530322 0.927857811 0.7427331599071622 0.4354162448197603 36.0 58.7326 0.726997796650976 -1.20884
en-pl SRPOL.1325 0.492951679895346 76.3535864978903 27.5571 -0.5978 53.7236 0.56589 26.658418299999965 0.3459613398835063 0.7040048925243318 0.8947393818441779 0.7821759464591742 0.5235947493439599 0.18256470129718394 0.7203879119642079 -0.4704856519575405 -0.38354407928837453 0.4958756382801674 0.3046279601193965 0.571112225400284 0.63768193 0.945404063 0.9285821120000001 0.7553949438966809 0.463215773165226 38.9 60.0045 0.7345941073466092 -1.17616
en-pl Online-G.1559 0.316126363236242 70.5919418758256 23.7294 -0.6268 50.8426 0.5412600000000001 23.02194449999999 0.2855803828239441 0.6424546134928242 0.8770790652995929 0.7376032762676478 0.4864482989611352 0.16715744145100758 0.6349510517772287 -0.5040816545817568 -0.4021888985834085 0.4523165560361828 0.2595201470386237 0.4953228999357671 0.622985593 0.940834106 0.9278542940000001 0.7125187978148461 0.3797612244486809 34.2 57.1648 0.6976701913233846 -1.2577200000000002
en-pl eTranslation.926 0.434658268767938 75.639329004329 27.1974 -0.6005 53.3441 0.5631 26.52255539999999 0.3460160850510001 0.7130506921038031 0.8984317637542263 0.7893845430463553 0.533941934116152 0.18344331352731946 0.7289543714988976 -0.4708938602482742 -0.3841413290346973 0.4918200150079077 0.31238916163146496 0.5770740793906153 0.640557641 0.9454676890000001 0.928239046 0.7602965125590563 0.4639328179582953 37.4 59.282 0.7373217791859059 -1.1768299999999998
en-pl Online-B.1593 0.23607190412563295 70.05541205412051 25.1652 -0.6158 51.9607 0.54989 24.42699660000001 0.30249815779924394 0.6573954922184349 0.88638617126178 0.7605621961653233 0.4912768510403039 0.17424449705544284 0.6697140607163311 -0.4946222784858497 -0.3964020579783246 0.4700460943839244 0.3039051512666047 0.5491312253158539 0.6265800278 0.9425729820000001 0.9282731909999999 0.7338032502233982 0.4281466461345553 36.0 57.9772 0.7154398294296116 -1.21432
en-pl Human-A.0 0.671845420836656 88.6419491525424          0.5857620499233017      0.3114896225854755 0.5573287507388741   0.920131241      
en-pl zlabs-nlp.180 -0.5376317702030721 47.672731182795715 18.6441 -0.6927 46.0567 0.4936 17.774193800000013 -0.17109891548752784 0.2507321369173005 0.7918218027260154 0.5796778585836291 0.25782180604352106 0.13137537829854587 0.18688786919787528 -0.559662894310098 -0.4478179370518774 0.3930254901228051 0.16134021795168518 0.15706436701491475 0.5721416288000001 0.928797952 0.92561528 0.5525582128502429 0.003953374944627285 26.7 52.2801 0.547126802412793 -1.48001
en-pl Online-Z.1634 -0.0595687666207042 63.88932477413221 20.7459 -0.6623 48.3054 0.5160100000000001 20.2872002 0.07213905881345271 0.4884946121396497 0.8411357162473724 0.6712498293295502 0.3655566172642248 0.1510450682751342 0.463246961792931 -0.5341806525672046 -0.4221492002732121 0.4266893545785468 0.21141101541928947 0.392525447992608 0.5906770920000001 0.934804877 0.926656143 0.6496830202490091 0.20997429782152174 29.2 54.0899 0.6308540470264852 -1.40424
