LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
iu-en OPPO.191 -0.0353362434681079 68.4337511190689 23.6426 -0.7498 44.7706 0.47025 25.49824893975089 0.1438104249699996 0.11631852173716965 -0.010536529286788072 0.006309538262133565 -0.8110507245741982 0.7268931537381339 0.6632007174883495 0.006027392947206019 0.13518691543486985 0.035383261118907994 -0.5407849581872596 -0.4259372237981687 0.4604561654175961 0.1278568947777398 -1.015108699004725 0.3515677581343461 0.600927172972 0.914148727365 0.747356071356 0.36077290982665017 0.08914942324953984 26.3 48.5375 0.3545221842377776 -2.35062
iu-en Helsinki.994 0.0660754788233231 71.11898274296091 23.0485 -0.7028 43.5608 0.4550300000000001 26.33004193874124 0.1229285251227584 0.10821835194892733 -0.01790446452282366 -0.013875877965543857 -0.7959924794756095 0.7317054773453913 0.6717075087513759 0.007795764627037639 0.1415167064302219 0.03829144603139882 -0.5580708537893161 -0.4206316160534652 0.4517656236969958 0.08902050829666486 -1.042466132516353 0.3458925742009358 0.604734855907 0.91600088859 0.750856442006 0.3739302415427075 0.09153609517466456 26.3 46.837 0.3670536834321532 -2.26072
iu-en Facebook_AI.729 0.16723114282304502 72.8705985915493 27.9263 -0.6479 48.6668 0.50927 31.04257765062263 0.2737746436872373 0.24252510172866965 0.15410930607925558 0.13885534921606474 -0.6932887500474867 0.7795786303993113 0.7303057064420444 0.010783030384369952 0.17044761155603572 0.20425253687473469 -0.4851246701990966 -0.384155591208148 0.5161892131790071 0.12377017773988773 -0.9717287137792222 0.3954804560046297 0.6438320054860001 0.928852755301 0.7519203173010001 0.489484344189344 0.24833529988991535 31.9 51.8403 0.4802302652145528 -2.01607
iu-en SRPOL.385 0.0718126272141954 70.260859929078 25.6457 -0.6822 45.8512 0.47655 28.80531938741171 0.12595181142048015 0.11076780951051188 -0.015322789833205432 0.014209422453089381 -0.7748620233506978 0.7281840745897575 0.6709700643198734 0.007276693391173872 0.15620478691325265 0.06635682082517766 -0.5209324564480536 -0.40672760539384417 0.4900311722537738 0.0801762446838872 -1.0638375794424106 0.3705774422518059 0.619726163783 0.918308783238 0.751233189498 0.4004453996171938 0.12070706040820706 28.9 49.007 0.39057641069758064 -2.2000900000000003
iu-en NRC.985 0.0550597758957625 70.1599813432836 28.0033 -0.6557 47.3347 0.48935 31.442701077078443 0.15436079677348585 0.14259831679565502 0.020901794407111717 0.04238620037805428 -0.762507641040358 0.7322882938961107 0.684515913707044 0.008754753126934953 0.16623214910680134 0.09337927647767563 -0.5082697311158997 -0.3955317117224906 0.5107993656603607 0.07683101645443564 -1.0568739268822187 0.38274072392511777 0.630670001111 0.9231175149779999 0.750111571491 0.4226193094406012 0.1539009183203881 31.3 49.8953 0.4122107807059093 -2.1015599999999997
iu-en UQAM_TanLe.520 0.0470744926499813 70.105461393597 29.8484 -0.6597 46.6882 0.48369 32.666325782564805 0.08863785483998829 0.1059915456295174 -0.038974505435714256 -0.008719669567820441 -0.7513640827475193 0.7256010222311113 0.662494552111393 0.0074937442621468685 0.2439172508275071 0.03124654537630438 -0.5419266910026685 -0.3996806550537149 0.4842142958889401 0.062492456491528764 -1.0614158079436895 0.3770473535802933 0.620269427163 0.915950821945 0.7459056913500001 0.3580323600083921 0.06598443250309452 33.0 49.2235 0.3481567558578241 -2.29988
iu-en NiuTrans.1206 0.168251925272642 73.1370967741936 29.0558 -0.6597 48.5496 0.50276 32.56040390440927 0.2537186061671911 0.21822546794885175 0.10635721168155744 0.11996909244238667 -0.7052399328502615 0.7520858177163512 0.7046425826809937 0.007586653883836491 0.15373971086120852 0.1604877897616299 -0.4852744312269501 -0.3811938444428956 0.5217012656037752 0.10835899115210627 -1.0379938348357884 0.3882484743966244 0.652309124032 0.925939665096 0.754145430899 0.472426299102296 0.2273932727538388 32.2 51.6602 0.4621029621869757 -2.0262
iu-en NICT_Kyoto.1220 0.00613872585315825 68.7847405452946 23.4028 -0.7251 44.3823 0.46307 25.20992665769104 0.15408628008625236 0.13320044294947608 -0.0044771565938790375 0.01965882635927088 -0.7994378452229705 0.7297007573137793 0.6606996125848515 0.006710190008011662 0.131512351309341 0.04223964609474054 -0.5303721630877433 -0.4226445556882843 0.4622770241796085 0.1346926633582066 -1.0390352389657038 0.3526092147394435 0.607338494615 0.913962247391 0.7503805392120001 0.3780111170557864 0.0988923564693696 26.1 48.1431 0.37118558653102746 -2.28743
iu-en Groningen.1301 0.0961763611129336 70.6747388414055 26.6201 -0.6986 46.8364 0.4861 29.22078879165264 0.16854795396518565 0.1421049346113518 0.0163780326661298 0.04042114636405315 -0.7675657489213833 0.7297976416691158 0.6753806599971623 0.007081639553413026 0.1569394035425805 0.08122177837709313 -0.5118786055865988 -0.40448488666902005 0.5016172976691369 0.09490575412308998 -1.058106520671168 0.3765307921318041 0.622800470313 0.919125162572 0.7499667811849999 0.418865589477004 0.14117433421893058 29.5 50.0802 0.4104806858875693 -2.17464
iu-en UEDIN.1282 0.0540961046145875 70.246999076639 22.997 -0.7322 43.9061 0.46079 25.952409592729783 0.0684157184120462 0.06529822254955307 -0.04057617932156817 -0.037080561861932496 -0.8059908158864634 0.7229971767082505 0.6599825387228141 0.006693044424550077 0.1486375335755854 0.02811891859499484 -0.5389981226764948 -0.42584742405064696 0.4645316175067913 0.11628550890230023 -1.0314163772720946 0.3562957874183039 0.598468177179 0.9124725567149999 0.746528088522 0.3239863220350243 0.07616531684899402 25.9 47.3001 0.3150790513636377 -2.38143
