LP SYSTEM HUMAN HUMAN_RAW BLEU TER chrF++ chrF sentBLEU BERT-base-L2 BERT-large-L2 BLEURT-extended BLEURT COMET-2R COMET-HTER COMET-MQM COMET-QE COMET-Rank COMET CharacTER EED MEE OpenKiwi-Bert OpenKiwi-XLMR SWSS+METEOR YiSi-0 YiSi-1 YiSi-2 esim mBERT-L2 parbleu parchrf++ paresim-1 prism
ru-en_B OPPO.1094 0.112572397943507 79.7313109425785 41.2967 -0.4709 64.6773 0.6659 38.85130585267411 0.44092193518048217 0.4387321926269955 0.36310585561151104 0.3691654359145554 0.5919449010555652 0.9385740555960056 0.8369096460349024 0.3333980892258359 0.1874602351935188 0.6058139430958586 -0.3618185781842637 -0.29082417370813524 0.6405488291509835 0.2675961927462869 0.3439016710350329 0.5065032274404417 0.7277663430879999 0.9550919001010001 0.929350701312 0.6194542896803225 0.4635876032977725 48.5 69.0567 0.6233354842029023 -1.18164
ru-en_B zlabs-nlp.1164 -0.15329968810711098 71.7286348501665 31.908 -0.5588 58.398 0.6066699999999999 29.75807003027243 0.19206382445502354 0.19874436481960125 0.10674738065987134 0.12686073070337506 0.4042779470819277 0.8864941103966563 0.724440482848227 0.22789797089633398 0.15004284901719342 0.3682469062462043 -0.4296932173619067 -0.3451633261184008 0.5746076536768859 0.1428252007552882 0.19684372538198855 0.44804153518830825 0.669591280525 0.937148216953 0.9268845711399999 0.4386394359021026 0.24297075391597636 37.1 62.5855 0.43896169851296296 -1.55566
ru-en_B Human-B.0 0.0619114478687957 79.8684895833333             0.33203585857982393      0.2632520467937594 0.3225418118145373    0.924366039354      
ru-en_B DiDi_NLP.1191 -0.0162113390750598 75.9738805970149 35.9104 -0.519 60.6727 0.62778 33.53649021190715 0.3144662069414266 0.3156976017548386 0.2426490161406284 0.2437565671627745 0.4942467772043813 0.9199395219914758 0.7890177699168683 0.2861458228560623 0.17079308653473851 0.4813316287162717 -0.398468641600965 -0.3226096837543605 0.600916385825589 0.2371740814309669 0.2953816842697523 0.4691811886397239 0.694937069627 0.9449203642790001 0.927839031282 0.5337670002316851 0.3594327098967209 42.5 64.9088 0.5360824365946948 -1.39641
ru-en_B Online-A.1583 0.114367707834503 80.9449339207048 38.4093 -0.4907 62.6225 0.64578 36.108877194752736 0.4020840391952744 0.3960234314263408 0.31442052046989216 0.3261689277427829 0.5556252714975781 0.9299328000868337 0.8162313772047805 0.3172876168153822 0.1778010445583684 0.5565290105342113 -0.3794178226948102 -0.307302296802582 0.6229568354510024 0.25265053454805336 0.3175987728376141 0.4907961764201811 0.7121040504539999 0.9512508607469999 0.9285440070640001 0.5959059970395115 0.4159075900852139 45.4 66.908 0.5993366101615725 -1.26221
ru-en_B Online-B.1603 0.0721864798087545 80.15178571428571 39.5518 -0.4805 64.0576 0.6604399999999999 37.171450353178614 0.4185762231573688 0.4173035900720313 0.33254007595909835 0.3482337094670468 0.5788035216364412 0.9345060507715216 0.8269446515952783 0.32175421538082305 0.18353942865397596 0.5886111361764965 -0.3627875492258272 -0.2964392452868215 0.637452015369935 0.2568716916709567 0.329599734611892 0.5006050117825571 0.722998420787 0.953062567104 0.9297931220990001 0.6144745526788333 0.4474546883319148 46.0 68.2291 0.6158132010771997 -1.23201
ru-en_B PROMT_NMT.78 0.0959464364574067 79.4908759124088 39.7148 -0.4789 64.2604 0.66132 37.431747628657945 0.4148227178334709 0.4085485859276909 0.3288073318321577 0.3424382852287033 0.5746534381683928 0.9344036721236304 0.8290228608818997 0.31772082368512866 0.18008500790531304 0.5815690657881386 -0.3627650708931553 -0.2978065102394035 0.6408675764239647 0.2529493843973074 0.3263840410467444 0.5016154592815637 0.721717715439 0.95323405449 0.93025315439 0.6049103370287825 0.4444897122733769 46.5 68.4866 0.6065284983582953 -1.22315
ru-en_B Online-G.1567 0.12383429767425 79.26035322777099 39.8179 -0.46299999999999997 64.4108 0.66383 38.067934106962696 0.4508906178229031 0.4460319436552787 0.35760148531944314 0.3784574539251212 0.587359588753947 0.9367329824836144 0.8187452070076701 0.3252000232454397 0.18279412449108556 0.6013250997107698 -0.3536623163269368 -0.2899918349884548 0.6436655830139177 0.2545637340537685 0.32064836436185296 0.5108302305865544 0.727289489405 0.953194517659 0.929778756811 0.6286167590065994 0.4572700162077046 46.5 68.599 0.629383164808515 -1.2175200000000002
ru-en_B AFRL.1083 0.0261181010365988 79.1653726708075 36.9812 -0.5109 62.1874 0.6418 35.01491200807264 0.3169537520282324 0.3225272751134171 0.2278509220159138 0.2479415291583863 0.4899383544589193 0.906510785768066 0.7659128811417145 0.2732505023554652 0.16651673730226316 0.4762512149644487 -0.38755199269827056 -0.3146176946863502 0.6190518421501466 0.20909065090864146 0.2541103631231697 0.4825809176891765 0.705610137235 0.9466495469220001 0.927748696266 0.533469351965231 0.34331666633832586 43.3 66.3775 0.5352829474200214 -1.37548
ru-en_B eTranslation.686 0.103922134720395 80.6146706586826 40.039 -0.4809 64.7969 0.66692 37.85218779011101 0.4469952241984673 0.4377257842438974 0.3661411492573145 0.3703408002793248 0.5968989040336067 0.9432936221629936 0.8443736084685196 0.33853839138339353 0.1868587926415254 0.6084983219156713 -0.35942510158219965 -0.2933206152806188 0.6432101474100984 0.2809869884658985 0.35532995017563057 0.5026353176529399 0.724952951564 0.9558518809280001 0.9297886478299999 0.6306068349505589 0.4673798711882109 46.8 69.1227 0.6339177441690211 -1.1771200000000002
ru-en_B ariel197197.512 0.0423466880217548 77.6732749742533 41.1892 -0.4681 64.0793 0.6598 37.78284742684154 0.4574055796645123 0.4444234539744351 0.38197503668208177 0.3747725974539094 0.589515143212243 0.943261902122434 0.8423478776282668 0.34210028323879915 0.18860742739791087 0.6040413427203292 -0.3657348524143855 -0.2980953015153993 0.6284147883751501 0.2781942915096202 0.35034282607196504 0.4991202856811179 0.721199147326 0.954756865792 0.9278744510600001 0.6267350956902855 0.4646139217222976 48.5 68.4795 0.6306534152342651 -1.18777
ru-en_B Online-Z.1644 -0.0216195521549111 75.18225623582771 33.4809 -0.5396 58.9067 0.61117 31.17192573158425 0.2730555877796215 0.2765515903847369 0.18194582946335391 0.20531865755917447 0.4663566452226442 0.9008961133705876 0.7435725696091695 0.2575537365257156 0.1577556871376125 0.4470803272298619 -0.41784792582598607 -0.3355814979282912 0.5809565045708746 0.1756517647396243 0.2470831489669747 0.4595098950499383 0.683284305752 0.941015668012 0.9272447406659999 0.5153383472191939 0.3168417973712643 39.0 62.9316 0.5166733286387685 -1.47666
