	Pearson	N	Winner
parchrf++	0.9504412541292364	15	True
prism	0.9485313815679473	15	True
chrF++	0.947857508703057	15	True
chrF	0.9474675519614241	15	True
YiSi-1	0.9422739150671807	15	True
CharacTER	0.9421800010616908	15	True
MEE	0.9399501098658044	15	True
mBERT-L2	0.937511829833924	15	True
BLEURT	0.9360082354981486	15	True
COMET	0.9360031573296704	15	True
BERT-base-L2	0.9359701902601938	15	True
BERT-large-L2	0.934574182697292	15	True
parbleu	0.9337462341039009	15	True
BLEU	0.9336481448504274	15	True
YiSi-2	0.9330758363119254	15	True
BLEURT-extended	0.9324827101078996	15	False
EQ_static	0.9312206483405835	15	True
COMET-2R	0.9296814221362346	15	True
sentBLEU	0.9280154294594053	15	False
EQ_dyn	0.924559342986965	15	False
SWSS+METEOR	0.9226863878599267	15	False
EED	0.9217546907925712	15	False
esim	0.9201300235076877	15	True
paresim-1	0.9179076640967697	15	False
YiSi-0	0.911430471721816	15	False
COMET-Rank	0.9081617070793554	15	True
OpenKiwi-XLMR	0.8987923470967538	15	False
COMET-QE	0.8867190674793795	15	False
TER	0.8754489985448581	15	False
COMET-HTER	0.8694398543826116	15	False
COMET-MQM	0.8599980330434134	15	False
HUMAN_RAW	0.8552473381806249	15	False
OpenKiwi-Bert	0.774479199628161	15	False
