	Pearson	N	Winner
HUMAN_RAW	0.9900022979587499	6	True
prism	0.9664985047177478	6	True
BLEURT	0.9553115448362134	6	True
YiSi-1	0.9534645416342385	6	True
BERT-large-L2	0.9498119544868163	6	True
COMET-2R	0.9490253719900401	6	True
SWSS+METEOR	0.9456428482830919	6	True
BERT-base-L2	0.9445010617592066	6	True
BLEURT-extended	0.9417834733065112	6	True
YiSi-2	0.9416265285460853	6	True
COMET	0.9414028939043918	6	False
parbleu	0.9387767856477436	6	True
mBERT-L2	0.937959291690809	6	True
TER	0.9346550991395681	6	True
YiSi-0	0.9316815971172336	6	True
EED	0.9302424774347364	6	True
esim	0.9292218315848245	6	False
paresim-1	0.9290729486660991	6	False
chrF++	0.899594301819937	6	False
parchrf++	0.8988803731626618	6	False
chrF	0.8975506021722992	6	False
BLEU	0.888092405084982	6	False
sentBLEU	0.8876000499934251	6	False
COMET-MQM	0.8798012839202343	6	False
MEE	0.8782305081321253	6	False
OpenKiwi-XLMR	0.8654284721203255	6	False
COMET-HTER	0.8624985088864218	6	False
COMET-Rank	0.8551935674946668	6	False
CharacTER	0.8413477558850201	6	False
COMET-QE	0.832002528839191	6	False
OpenKiwi-Bert	0.7525924103085021	6	False
