	Pearson	N	Winner
HUMAN_RAW	0.6848744598065662	13	True
BLEURT	0.37100508086411393	13	True
paresim-1	0.3633441898991355	13	True
esim	0.3579876400026189	13	True
BLEU	0.35535521944546045	13	True
parchrf++	0.34721427763397633	13	True
TER	0.34584673998138704	13	True
COMET	0.3453410433989592	13	True
parbleu	0.34240287392199803	13	True
COMET-2R	0.3320771684800826	13	True
chrF++	0.32832625479124955	13	True
BERT-base-L2	0.32831698110497953	13	True
CharacTER	0.3245356793854826	13	True
YiSi-1	0.31644000966554797	13	True
chrF	0.3123406137927405	13	True
mBERT-L2	0.3018609484368373	13	True
EED	0.2989273857066069	13	True
BLEURT-extended	0.29751538326991994	13	False
MEE	0.2949465779821209	13	True
COMET-Rank	0.28431840811647086	13	True
sentBLEU	0.2840660362960437	13	True
BERT-large-L2	0.282040136938412	13	False
prism	0.26870537727080196	13	True
COMET-HTER	0.2309341241515063	13	False
YiSi-2	0.23046445279512787	13	True
COMET-MQM	0.22200541062300982	13	False
COMET-QE	0.2181079929366863	13	False
SWSS+METEOR	0.211768713751872	13	True
YiSi-0	0.2074544469607145	13	True
OpenKiwi-Bert	0.18747681334341185	13	False
OpenKiwi-XLMR	0.1709949342294846	13	False
