BLEURT_DASH_extended 0.4367 387
COMET 0.3592 387
COMET_DASH_2R 0.3747 387
COMET_DASH_HTER 0.2868 387
COMET_DASH_MQM 0.3643 387
COMET_DASH_QE 0.2972 387
COMET_DASH_Rank 0.3075 387
CharacTER 0.3282 387
EED 0.2765 387
MEE 0.3075 387
OpenKiwi_DASH_Bert 0.3437 387
OpenKiwi_DASH_XLMR 0.3282 387
TER 0.1783 387
YiSi_DASH_0 0.3178 387
YiSi_DASH_1 0.3488 387
YiSi_DASH_2 0.2093 387
chrF 0.3075 387
chrF_PLUS__PLUS_ 0.3385 387
esim 0.354 387
mBERT_DASH_L2 0.4315 387
parbleu 0.2661 387
parchrf_PLUS__PLUS_ 0.3075 387
paresim_DASH_1 0.3643 387
prism 0.3282 387
sentBLEU 0.2868 387
